Region/Country/Area,Country/Area name,Year,Variables,"Enrollment in primary, lower secondary and upper secondary education levels"
21,Northern America,2005,Students enrolled in primary education (thousands),"26,759"
21,Northern America,2005,Gross enrollment ratio - Primary (male),102.1
21,Northern America,2005,Gross enrollment ratio - Primary (female),101.0
21,Northern America,2005,Students enrolled in lower secondary education (thousands),"14,006"
21,Northern America,2005,Gross enrollment ratio - Lower secondary level (male),101.4
21,Northern America,2005,Gross enrollment ratio - Lower secondary level (female),99.8
21,Northern America,2005,Students enrolled in upper secondary education (thousands),"13,028"
21,Northern America,2005,Gross enrollment ratio - Upper secondary level (male),88.6
21,Northern America,2005,Gross enrollment ratio - Upper secondary level (female),92.7
21,Northern America,2010,Students enrolled in primary education (thousands),"26,573"
21,Northern America,2010,Gross enrollment ratio - Primary (male),100.7
21,Northern America,2010,Gross enrollment ratio - Primary (female),99.8
21,Northern America,2010,Students enrolled in lower secondary education (thousands),"13,268"
21,Northern America,2010,Gross enrollment ratio - Lower secondary level (male),100.8
21,Northern America,2010,Gross enrollment ratio - Lower secondary level (female),99.3
21,Northern America,2010,Students enrolled in upper secondary education (thousands),"13,774"
21,Northern America,2010,Gross enrollment ratio - Upper secondary level (male),91.8
21,Northern America,2010,Gross enrollment ratio - Upper secondary level (female),94.5
21,Northern America,2015,Students enrolled in primary education (thousands),"27,094"
21,Northern America,2015,Gross enrollment ratio - Primary (male),100.3
21,Northern America,2015,Gross enrollment ratio - Primary (female),100.2
21,Northern America,2015,Students enrolled in lower secondary education (thousands),"13,702"
21,Northern America,2015,Gross enrollment ratio - Lower secondary level (male),100.5
21,Northern America,2015,Gross enrollment ratio - Lower secondary level (female),100.7
21,Northern America,2015,Students enrolled in upper secondary education (thousands),"13,361"
21,Northern America,2015,Gross enrollment ratio - Upper secondary level (male),96.3
21,Northern America,2015,Gross enrollment ratio - Upper secondary level (female),98.1
21,Northern America,2022,Students enrolled in primary education (thousands),"26,774"
21,Northern America,2022,Gross enrollment ratio - Primary (male),98.3
21,Northern America,2022,Gross enrollment ratio - Primary (female),98.0
21,Northern America,2022,Students enrolled in lower secondary education (thousands),"14,993"
21,Northern America,2022,Gross enrollment ratio - Lower secondary level (male),103.0
21,Northern America,2022,Gross enrollment ratio - Lower secondary level (female),103.3
21,Northern America,2022,Students enrolled in upper secondary education (thousands),"14,635"
21,Northern America,2022,Gross enrollment ratio - Upper secondary level (male),100.0
21,Northern America,2022,Gross enrollment ratio - Upper secondary level (female),101.2
419,Latin America & the Caribbean,2005,Students enrolled in primary education (thousands),"69,082"
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Primary (male),118.2
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Primary (female),114.5
419,Latin America & the Caribbean,2005,Students enrolled in lower secondary education (thousands),"36,809"
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Lower secondary level (male),98.0
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Lower secondary level (female),102.3
419,Latin America & the Caribbean,2005,Students enrolled in upper secondary education (thousands),"21,638"
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Upper secondary level (male),65.1
419,Latin America & the Caribbean,2005,Gross enrollment ratio - Upper secondary level (female),73.9
419,Latin America & the Caribbean,2010,Students enrolled in primary education (thousands),"66,985"
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Primary (male),110.7
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Primary (female),107.1
419,Latin America & the Caribbean,2010,Students enrolled in lower secondary education (thousands),"38,296"
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Lower secondary level (male),102.2
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Lower secondary level (female),105.4
419,Latin America & the Caribbean,2010,Students enrolled in upper secondary education (thousands),"22,746"
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Upper secondary level (male),67.1
419,Latin America & the Caribbean,2010,Gross enrollment ratio - Upper secondary level (female),77.8
419,Latin America & the Caribbean,2015,Students enrolled in primary education (thousands),"63,585"
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Primary (male),107.9
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Primary (female),105.5
419,Latin America & the Caribbean,2015,Students enrolled in lower secondary education (thousands),"38,882"
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Lower secondary level (male),108.1
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Lower secondary level (female),110.1
419,Latin America & the Caribbean,2015,Students enrolled in upper secondary education (thousands),"24,860"
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Upper secondary level (male),74.1
419,Latin America & the Caribbean,2015,Gross enrollment ratio - Upper secondary level (female),82.4
419,Latin America & the Caribbean,2022,Students enrolled in primary education (thousands),"61,617"
419,Latin America & the Caribbean,2022,Gross enrollment ratio - Primary (male),104.2
419,Latin America & the Caribbean,2022,Gross enrollment ratio - Primary (female),103.2
419,Latin America & the Caribbean,2022,Students enrolled in lower secondary education (thousands),"37,548"
419,Latin America & the Caribbean,2022,Gross enrollment ratio - Lower secondary level (male),105.6
419,Latin America & the Caribbean,2022,Gross enrollment ratio - Lower secondary level (female),108.6
419,Latin America & the Caribbean,2022,Students enrolled in upper secondary education (thousands),"25,722"
419,Latin America & the Caribbean,2022,Gross enrollment ratio - Upper secondary level (male),80.8
419,Latin America & the Caribbean,2022,Gross enrollment ratio - Upper secondary level (female),89.5
143,Central Asia,2005,Students enrolled in primary education (thousands),"4,886"
143,Central Asia,2005,Gross enrollment ratio - Primary (male),100.4
143,Central Asia,2005,Gross enrollment ratio - Primary (female),98.1
143,Central Asia,2005,Students enrolled in lower secondary education (thousands),"6,472"
143,Central Asia,2005,Gross enrollment ratio - Lower secondary level (male),96.4
143,Central Asia,2005,Gross enrollment ratio - Lower secondary level (female),93.5
143,Central Asia,2005,Students enrolled in upper secondary education (thousands),"2,587"
143,Central Asia,2005,Gross enrollment ratio - Upper secondary level (male),79.7
143,Central Asia,2005,Gross enrollment ratio - Upper secondary level (female),74.6
143,Central Asia,2010,Students enrolled in primary education (thousands),"4,320"
143,Central Asia,2010,Gross enrollment ratio - Primary (male),98.5
143,Central Asia,2010,Gross enrollment ratio - Primary (female),97.2
143,Central Asia,2010,Students enrolled in lower secondary education (thousands),"5,909"
143,Central Asia,2010,Gross enrollment ratio - Lower secondary level (male),97.1
143,Central Asia,2010,Gross enrollment ratio - Lower secondary level (female),94.6
143,Central Asia,2010,Students enrolled in upper secondary education (thousands),"2,736"
143,Central Asia,2010,Gross enrollment ratio - Upper secondary level (male),83.2
143,Central Asia,2010,Gross enrollment ratio - Upper secondary level (female),81.3
143,Central Asia,2015,Students enrolled in primary education (thousands),"4,932"
143,Central Asia,2015,Gross enrollment ratio - Primary (male),99.2
143,Central Asia,2015,Gross enrollment ratio - Primary (female),98.3
143,Central Asia,2015,Students enrolled in lower secondary education (thousands),"5,426"
143,Central Asia,2015,Gross enrollment ratio - Lower secondary level (male),95.1
143,Central Asia,2015,Gross enrollment ratio - Lower secondary level (female),94.0
143,Central Asia,2015,Students enrolled in upper secondary education (thousands),"2,617"
143,Central Asia,2015,Gross enrollment ratio - Upper secondary level (male),90.0
143,Central Asia,2015,Gross enrollment ratio - Upper secondary level (female),88.1
143,Central Asia,2021,Students enrolled in primary education (thousands),"6,136"
143,Central Asia,2021,Gross enrollment ratio - Primary (male),99.7
143,Central Asia,2021,Gross enrollment ratio - Primary (female),99.1
143,Central Asia,2021,Students enrolled in lower secondary education (thousands),"6,199"
143,Central Asia,2021,Gross enrollment ratio - Lower secondary level (male),90.9
143,Central Asia,2021,Gross enrollment ratio - Lower secondary level (female),89.8
143,Central Asia,2021,Students enrolled in upper secondary education (thousands),"2,494"
143,Central Asia,2021,Gross enrollment ratio - Upper secondary level (male),88.3
143,Central Asia,2021,Gross enrollment ratio - Upper secondary level (female),87.2
143,Central Asia,2022,Students enrolled in primary education (thousands),"6,178"
143,Central Asia,2022,Gross enrollment ratio - Primary (male),98.2
143,Central Asia,2022,Gross enrollment ratio - Primary (female),97.6
30,Eastern Asia,2005,Students enrolled in primary education (thousands),"127,969"
30,Eastern Asia,2005,Gross enrollment ratio - Primary (male),107.0
30,Eastern Asia,2005,Gross enrollment ratio - Primary (female),108.5
30,Eastern Asia,2005,Students enrolled in lower secondary education (thousands),"73,935"
30,Eastern Asia,2005,Gross enrollment ratio - Lower secondary level (male),98.4
30,Eastern Asia,2005,Gross enrollment ratio - Lower secondary level (female),98.8
30,Eastern Asia,2005,Students enrolled in upper secondary education (thousands),"42,426"
30,Eastern Asia,2005,Gross enrollment ratio - Upper secondary level (male),51.0
30,Eastern Asia,2005,Gross enrollment ratio - Upper secondary level (female),51.0
30,Eastern Asia,2010,Students enrolled in primary education (thousands),"113,631"
30,Eastern Asia,2010,Gross enrollment ratio - Primary (male),104.6
30,Eastern Asia,2010,Gross enrollment ratio - Primary (female),104.9
30,Eastern Asia,2010,Students enrolled in lower secondary education (thousands),"61,743"
30,Eastern Asia,2010,Gross enrollment ratio - Lower secondary level (male),103.8
30,Eastern Asia,2010,Gross enrollment ratio - Lower secondary level (female),106.7
30,Eastern Asia,2010,Students enrolled in upper secondary education (thousands),"51,931"
30,Eastern Asia,2010,Gross enrollment ratio - Upper secondary level (male),80.8
30,Eastern Asia,2010,Gross enrollment ratio - Upper secondary level (female),80.9
30,Eastern Asia,2015,Students enrolled in primary education (thousands),"107,559"
30,Eastern Asia,2015,Gross enrollment ratio - Primary (male),97.0
30,Eastern Asia,2015,Gross enrollment ratio - Primary (female),98.1
30,Eastern Asia,2015,Students enrolled in lower secondary education (thousands),"50,977"
30,Eastern Asia,2015,Gross enrollment ratio - Lower secondary level (male),92.3
30,Eastern Asia,2015,Gross enrollment ratio - Lower secondary level (female),94.2
30,Eastern Asia,2015,Students enrolled in upper secondary education (thousands),"48,634"
30,Eastern Asia,2015,Gross enrollment ratio - Upper secondary level (male),85.0
30,Eastern Asia,2015,Gross enrollment ratio - Upper secondary level (female),90.5
30,Eastern Asia,2022,Students enrolled in primary education (thousands),"119,271"
30,Eastern Asia,2022,Gross enrollment ratio - Primary (male),99.5
30,Eastern Asia,2022,Gross enrollment ratio - Primary (female),100.9
30,Eastern Asia,2022,Students enrolled in lower secondary education (thousands),"56,332"
30,Eastern Asia,2022,Gross enrollment ratio - Lower secondary level (male),96.5
30,Eastern Asia,2022,Gross enrollment ratio - Lower secondary level (female),97.9
30,Eastern Asia,2022,Students enrolled in upper secondary education (thousands),"49,395"
30,Eastern Asia,2022,Gross enrollment ratio - Upper secondary level (male),89.3
30,Eastern Asia,2022,Gross enrollment ratio - Upper secondary level (female),92.1
35,South-eastern Asia,2005,Students enrolled in primary education (thousands),"68,228"
35,South-eastern Asia,2005,Gross enrollment ratio - Primary (male),109.3
35,South-eastern Asia,2005,Gross enrollment ratio - Primary (female),107.7
35,South-eastern Asia,2005,Students enrolled in lower secondary education (thousands),"28,336"
35,South-eastern Asia,2005,Gross enrollment ratio - Lower secondary level (male),78.8
35,South-eastern Asia,2005,Gross enrollment ratio - Lower secondary level (female),80.1
35,South-eastern Asia,2005,Students enrolled in upper secondary education (thousands),"11,889"
35,South-eastern Asia,2005,Gross enrollment ratio - Upper secondary level (male),43.0
35,South-eastern Asia,2005,Gross enrollment ratio - Upper secondary level (female),43.1
35,South-eastern Asia,2010,Students enrolled in primary education (thousands),"68,285"
35,South-eastern Asia,2010,Gross enrollment ratio - Primary (male),109.2
35,South-eastern Asia,2010,Gross enrollment ratio - Primary (female),110.2
35,South-eastern Asia,2010,Students enrolled in lower secondary education (thousands),"29,907"
35,South-eastern Asia,2010,Gross enrollment ratio - Lower secondary level (male),84.2
35,South-eastern Asia,2010,Gross enrollment ratio - Lower secondary level (female),87.3
35,South-eastern Asia,2010,Students enrolled in upper secondary education (thousands),"14,859"
35,South-eastern Asia,2010,Gross enrollment ratio - Upper secondary level (male),53.6
35,South-eastern Asia,2010,Gross enrollment ratio - Upper secondary level (female),53.5
35,South-eastern Asia,2015,Students enrolled in primary education (thousands),"68,684"
35,South-eastern Asia,2015,Gross enrollment ratio - Primary (male),110.0
35,South-eastern Asia,2015,Gross enrollment ratio - Primary (female),107.6
35,South-eastern Asia,2015,Students enrolled in lower secondary education (thousands),"32,785"
35,South-eastern Asia,2015,Gross enrollment ratio - Lower secondary level (male),93.3
35,South-eastern Asia,2015,Gross enrollment ratio - Lower secondary level (female),96.1
35,South-eastern Asia,2015,Students enrolled in upper secondary education (thousands),"18,646"
35,South-eastern Asia,2015,Gross enrollment ratio - Upper secondary level (male),69.6
35,South-eastern Asia,2015,Gross enrollment ratio - Upper secondary level (female),67.8
35,South-eastern Asia,2021,Students enrolled in primary education (thousands),"68,789"
35,South-eastern Asia,2021,Gross enrollment ratio - Primary (male),106.2
35,South-eastern Asia,2021,Gross enrollment ratio - Primary (female),104.6
35,South-eastern Asia,2021,Students enrolled in lower secondary education (thousands),"37,448"
35,South-eastern Asia,2021,Gross enrollment ratio - Lower secondary level (male),98.2
35,South-eastern Asia,2021,Gross enrollment ratio - Lower secondary level (female),100.6
35,South-eastern Asia,2021,Students enrolled in upper secondary education (thousands),"19,865"
35,South-eastern Asia,2021,Gross enrollment ratio - Upper secondary level (male),66.6
35,South-eastern Asia,2021,Gross enrollment ratio - Upper secondary level (female),69.9
34,Southern Asia,2005,Students enrolled in primary education (thousands),"181,483"
34,Southern Asia,2005,Gross enrollment ratio - Primary (male),102.9
34,Southern Asia,2005,Gross enrollment ratio - Primary (female),97.1
34,Southern Asia,2005,Students enrolled in lower secondary education (thousands),"70,160"
34,Southern Asia,2005,Gross enrollment ratio - Lower secondary level (male),70.2
34,Southern Asia,2005,Gross enrollment ratio - Lower secondary level (female),61.8
34,Southern Asia,2005,Students enrolled in upper secondary education (thousands),"50,559"
34,Southern Asia,2005,Gross enrollment ratio - Upper secondary level (male),41.2
34,Southern Asia,2005,Gross enrollment ratio - Upper secondary level (female),32.9
34,Southern Asia,2010,Students enrolled in primary education (thousands),"191,840"
34,Southern Asia,2010,Gross enrollment ratio - Primary (male),103.0
34,Southern Asia,2010,Gross enrollment ratio - Primary (female),101.3
34,Southern Asia,2010,Students enrolled in lower secondary education (thousands),"79,060"
34,Southern Asia,2010,Gross enrollment ratio - Lower secondary level (male),74.4
34,Southern Asia,2010,Gross enrollment ratio - Lower secondary level (female),70.9
34,Southern Asia,2010,Students enrolled in upper secondary education (thousands),"64,315"
34,Southern Asia,2010,Gross enrollment ratio - Upper secondary level (male),48.5
34,Southern Asia,2010,Gross enrollment ratio - Upper secondary level (female),42.9
34,Southern Asia,2015,Students enrolled in primary education (thousands),"195,984"
34,Southern Asia,2015,Gross enrollment ratio - Primary (male),102.0
34,Southern Asia,2015,Gross enrollment ratio - Primary (female),107.0
34,Southern Asia,2015,Students enrolled in lower secondary education (thousands),"88,796"
34,Southern Asia,2015,Gross enrollment ratio - Lower secondary level (male),78.4
34,Southern Asia,2015,Gross enrollment ratio - Lower secondary level (female),80.5
34,Southern Asia,2015,Students enrolled in upper secondary education (thousands),"81,636"
34,Southern Asia,2015,Gross enrollment ratio - Upper secondary level (male),58.1
34,Southern Asia,2015,Gross enrollment ratio - Upper secondary level (female),54.5
34,Southern Asia,2022,Students enrolled in primary education (thousands),"194,387"
34,Southern Asia,2022,Gross enrollment ratio - Primary (male),106.1
34,Southern Asia,2022,Gross enrollment ratio - Primary (female),103.9
34,Southern Asia,2022,Students enrolled in lower secondary education (thousands),"91,769"
34,Southern Asia,2022,Gross enrollment ratio - Lower secondary level (male),81.9
34,Southern Asia,2022,Gross enrollment ratio - Lower secondary level (female),83.1
34,Southern Asia,2022,Students enrolled in upper secondary education (thousands),"93,762"
34,Southern Asia,2022,Gross enrollment ratio - Upper secondary level (male),65.9
34,Southern Asia,2022,Gross enrollment ratio - Upper secondary level (female),62.9
145,Western Asia,2005,Students enrolled in primary education (thousands),"24,242"
145,Western Asia,2005,Gross enrollment ratio - Primary (male),102.2
145,Western Asia,2005,Gross enrollment ratio - Primary (female),93.2
145,Western Asia,2005,Students enrolled in lower secondary education (thousands),"12,427"
145,Western Asia,2005,Gross enrollment ratio - Lower secondary level (male),88.5
145,Western Asia,2005,Gross enrollment ratio - Lower secondary level (female),76.8
145,Western Asia,2005,Students enrolled in upper secondary education (thousands),"7,394"
145,Western Asia,2005,Gross enrollment ratio - Upper secondary level (male),66.9
145,Western Asia,2005,Gross enrollment ratio - Upper secondary level (female),56.5
145,Western Asia,2010,Students enrolled in primary education (thousands),"25,347"
145,Western Asia,2010,Gross enrollment ratio - Primary (male),102.3
145,Western Asia,2010,Gross enrollment ratio - Primary (female),96.0
145,Western Asia,2010,Students enrolled in lower secondary education (thousands),"13,473"
145,Western Asia,2010,Gross enrollment ratio - Lower secondary level (male),88.8
145,Western Asia,2010,Gross enrollment ratio - Lower secondary level (female),81.4
145,Western Asia,2010,Students enrolled in upper secondary education (thousands),"9,035"
145,Western Asia,2010,Gross enrollment ratio - Upper secondary level (male),65.0
145,Western Asia,2010,Gross enrollment ratio - Upper secondary level (female),59.8
145,Western Asia,2015,Students enrolled in primary education (thousands),"26,350"
145,Western Asia,2015,Gross enrollment ratio - Primary (male),98.5
145,Western Asia,2015,Gross enrollment ratio - Primary (female),93.0
145,Western Asia,2015,Students enrolled in lower secondary education (thousands),"13,787"
145,Western Asia,2015,Gross enrollment ratio - Lower secondary level (male),85.3
145,Western Asia,2015,Gross enrollment ratio - Lower secondary level (female),81.7
145,Western Asia,2015,Students enrolled in upper secondary education (thousands),"11,485"
145,Western Asia,2015,Gross enrollment ratio - Upper secondary level (male),77.6
145,Western Asia,2015,Gross enrollment ratio - Upper secondary level (female),74.5
145,Western Asia,2022,Students enrolled in primary education (thousands),"28,482"
145,Western Asia,2022,Gross enrollment ratio - Primary (male),96.4
145,Western Asia,2022,Gross enrollment ratio - Primary (female),90.7
145,Western Asia,2022,Students enrolled in lower secondary education (thousands),"15,104"
145,Western Asia,2022,Gross enrollment ratio - Lower secondary level (male),82.1
145,Western Asia,2022,Gross enrollment ratio - Lower secondary level (female),78.4
145,Western Asia,2022,Students enrolled in upper secondary education (thousands),"12,922"
145,Western Asia,2022,Gross enrollment ratio - Upper secondary level (male),82.2
145,Western Asia,2022,Gross enrollment ratio - Upper secondary level (female),77.4
150,Europe,2005,Students enrolled in primary education (thousands),"38,479"
150,Europe,2005,Gross enrollment ratio - Primary (male),103.4
150,Europe,2005,Gross enrollment ratio - Primary (female),102.6
150,Europe,2005,Students enrolled in lower secondary education (thousands),"36,273"
150,Europe,2005,Gross enrollment ratio - Lower secondary level (male),98.6
150,Europe,2005,Gross enrollment ratio - Lower secondary level (female),97.4
150,Europe,2005,Students enrolled in upper secondary education (thousands),"29,004"
150,Europe,2005,Gross enrollment ratio - Upper secondary level (male),98.8
150,Europe,2005,Gross enrollment ratio - Upper secondary level (female),99.5
150,Europe,2010,Students enrolled in primary education (thousands),"36,741"
150,Europe,2010,Gross enrollment ratio - Primary (male),101.4
150,Europe,2010,Gross enrollment ratio - Primary (female),100.9
150,Europe,2010,Students enrolled in lower secondary education (thousands),"32,355"
150,Europe,2010,Gross enrollment ratio - Lower secondary level (male),103.3
150,Europe,2010,Gross enrollment ratio - Lower secondary level (female),102.3
150,Europe,2010,Students enrolled in upper secondary education (thousands),"26,264"
150,Europe,2010,Gross enrollment ratio - Upper secondary level (male),103.4
