Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
660,Anguilla,2005,All staff compensation as % of total expenditure in public institutions (%),80.9
660,Anguilla,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8
660,Anguilla,2008,All staff compensation as % of total expenditure in public institutions (%),69.4
660,Anguilla,2008,Capital expenditure as % of total expenditure in public institutions (%),20.8
660,Anguilla,2010,Basic access to computers by level of education: Lower secondary,100
660,Anguilla,2010,Basic access to computers by level of education: Upper secondary,100
660,Anguilla,2022,Basic access to computers by level of education: Primary,100.0
660,Anguilla,2022,Basic access to computers by level of education: Lower secondary,100
660,Anguilla,2022,Basic access to computers by level of education: Upper secondary,100
28,Antigua and Barbuda,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.7
28,Antigua and Barbuda,2002,Capital expenditure as % of total expenditure in public institutions (%),3.9
28,Antigua and Barbuda,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.6
28,Antigua and Barbuda,2009,All staff compensation as % of total expenditure in public institutions (%),73.2
28,Antigua and Barbuda,2009,Capital expenditure as % of total expenditure in public institutions (%),5.2
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Primary,90.0
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Lower secondary,100
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Upper secondary,100
32,Argentina,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.6
32,Argentina,2004,All staff compensation as % of total expenditure in public institutions (%),87.6
32,Argentina,2004,Capital expenditure as % of total expenditure in public institutions (%),0.8
32,Argentina,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9
32,Argentina,2010,All staff compensation as % of total expenditure in public institutions (%),85.9
32,Argentina,2010,Capital expenditure as % of total expenditure in public institutions (%),4.2
32,Argentina,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.2
32,Argentina,2015,All staff compensation as % of total expenditure in public institutions (%),82.0
32,Argentina,2015,Capital expenditure as % of total expenditure in public institutions (%),10.8
32,Argentina,2015,Basic access to computers by level of education: Primary,58.7
32,Argentina,2015,Basic access to computers by level of education: Lower secondary,72
32,Argentina,2015,Basic access to computers by level of education: Upper secondary,75
32,Argentina,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.9
32,Argentina,2021,All staff compensation as % of total expenditure in public institutions (%),88.0
32,Argentina,2021,Capital expenditure as % of total expenditure in public institutions (%),4.1
32,Argentina,2021,Basic access to computers by level of education: Primary,62.7
32,Argentina,2021,Basic access to computers by level of education: Lower secondary,57
32,Argentina,2021,Basic access to computers by level of education: Upper secondary,59
51,Armenia,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.5
51,Armenia,2014,All staff compensation as % of total expenditure in public institutions (%),65.5
51,Armenia,2014,Capital expenditure as % of total expenditure in public institutions (%),26.0
51,Armenia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.6
51,Armenia,2015,All staff compensation as % of total expenditure in public institutions (%),88.5
51,Armenia,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.9
51,Armenia,2022,All staff compensation as % of total expenditure in public institutions (%),72.1
51,Armenia,2022,Capital expenditure as % of total expenditure in public institutions (%),8.0
51,Armenia,2022,Basic access to computers by level of education: Primary,100.0
51,Armenia,2022,Basic access to computers by level of education: Lower secondary,100
51,Armenia,2022,Basic access to computers by level of education: Upper secondary,100
533,Aruba,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.1
533,Aruba,2005,All staff compensation as % of total expenditure in public institutions (%),90.7
533,Aruba,2005,Capital expenditure as % of total expenditure in public institutions (%),3.2
533,Aruba,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),5.7
533,Aruba,2009,All staff compensation as % of total expenditure in public institutions (%),87.0
533,Aruba,2010,Basic access to computers by level of education: Primary,100.0
533,Aruba,2010,Basic access to computers by level of education: Lower secondary,100
533,Aruba,2010,Basic access to computers by level of education: Upper secondary,100
533,Aruba,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.9
533,Aruba,2015,All staff compensation as % of total expenditure in public institutions (%),93.1
533,Aruba,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.0
533,Aruba,2016,All staff compensation as % of total expenditure in public institutions (%),93.0
36,Australia,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.7
36,Australia,2000,All staff compensation as % of total expenditure in public institutions (%),68.3
36,Australia,2000,Capital expenditure as % of total expenditure in public institutions (%),7.0
36,Australia,2010,Basic access to computers by level of education: Primary,100.0
36,Australia,2010,Basic access to computers by level of education: Lower secondary,100
36,Australia,2010,Basic access to computers by level of education: Upper secondary,100
36,Australia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.1
36,Australia,2015,All staff compensation as % of total expenditure in public institutions (%),65.2
36,Australia,2015,Capital expenditure as % of total expenditure in public institutions (%),7.7
36,Australia,2015,Basic access to computers by level of education: Primary,100.0
36,Australia,2015,Basic access to computers by level of education: Lower secondary,100
36,Australia,2015,Basic access to computers by level of education: Upper secondary,100
36,Australia,2021,Basic access to computers by level of education: Primary,100.0
36,Australia,2021,Basic access to computers by level of education: Lower secondary,100
36,Australia,2021,Basic access to computers by level of education: Upper secondary,100
40,Austria,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.2
40,Austria,2005,All staff compensation as % of total expenditure in public institutions (%),72.1
40,Austria,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7
40,Austria,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.9
40,Austria,2010,All staff compensation as % of total expenditure in public institutions (%),70.2
40,Austria,2010,Capital expenditure as % of total expenditure in public institutions (%),4.9
40,Austria,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.2
40,Austria,2015,All staff compensation as % of total expenditure in public institutions (%),68.3
40,Austria,2015,Capital expenditure as % of total expenditure in public institutions (%),5.5
40,Austria,2015,Basic access to computers by level of education: Primary,100.0
40,Austria,2015,Basic access to computers by level of education: Lower secondary,100
40,Austria,2015,Basic access to computers by level of education: Upper secondary,100
40,Austria,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.4
40,Austria,2020,All staff compensation as % of total expenditure in public institutions (%),68.7
40,Austria,2020,Capital expenditure as % of total expenditure in public institutions (%),6.8
40,Austria,2020,Basic access to computers by level of education: Primary,100.0
40,Austria,2020,Basic access to computers by level of education: Lower secondary,100
40,Austria,2020,Basic access to computers by level of education: Upper secondary,100
40,Austria,2022,Basic access to computers by level of education: Primary,100.0
40,Austria,2022,Basic access to computers by level of education: Lower secondary,100
40,Austria,2022,Basic access to computers by level of education: Upper secondary,100
31,Azerbaijan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.6
31,Azerbaijan,2005,All staff compensation as % of total expenditure in public institutions (%),66.8
31,Azerbaijan,2005,Capital expenditure as % of total expenditure in public institutions (%),1.6
31,Azerbaijan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.6
31,Azerbaijan,2010,All staff compensation as % of total expenditure in public institutions (%),64.8
31,Azerbaijan,2010,Capital expenditure as % of total expenditure in public institutions (%),2.5
31,Azerbaijan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.9
31,Azerbaijan,2015,All staff compensation as % of total expenditure in public institutions (%),52.0
31,Azerbaijan,2015,Capital expenditure as % of total expenditure in public institutions (%),2.2
31,Azerbaijan,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.0
31,Azerbaijan,2021,All staff compensation as % of total expenditure in public institutions (%),65.5
31,Azerbaijan,2021,Capital expenditure as % of total expenditure in public institutions (%),9.6
31,Azerbaijan,2021,Basic access to computers by level of education: Primary,97.8
31,Azerbaijan,2021,Basic access to computers by level of education: Lower secondary,99
31,Azerbaijan,2021,Basic access to computers by level of education: Upper secondary,99
31,Azerbaijan,2022,Basic access to computers by level of education: Primary,98.4
31,Azerbaijan,2022,Basic access to computers by level of education: Lower secondary,99
31,Azerbaijan,2022,Basic access to computers by level of education: Upper secondary,99
48,Bahrain,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.8
48,Bahrain,2012,All staff compensation as % of total expenditure in public institutions (%),82.3
48,Bahrain,2012,Capital expenditure as % of total expenditure in public institutions (%),3.8
48,Bahrain,2015,Basic access to computers by level of education: Primary,100.0
48,Bahrain,2022,Basic access to computers by level of education: Primary,100.0
48,Bahrain,2022,Basic access to computers by level of education: Lower secondary,100
48,Bahrain,2022,Basic access to computers by level of education: Upper secondary,100
50,Bangladesh,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2
50,Bangladesh,2009,All staff compensation as % of total expenditure in public institutions (%),59.8
50,Bangladesh,2009,Capital expenditure as % of total expenditure in public institutions (%),19.0
50,Bangladesh,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),4.3
50,Bangladesh,2012,All staff compensation as % of total expenditure in public institutions (%),95.2
50,Bangladesh,2012,Capital expenditure as % of total expenditure in public institutions (%),0.5
50,Bangladesh,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.0
50,Bangladesh,2019,All staff compensation as % of total expenditure in public institutions (%),55.0
50,Bangladesh,2019,Capital expenditure as % of total expenditure in public institutions (%),29.0
50,Bangladesh,2021,Basic access to computers by level of education: Primary,41.7
50,Bangladesh,2021,Basic access to computers by level of education: Lower secondary,75
50,Bangladesh,2021,Basic access to computers by level of education: Upper secondary,77
50,Bangladesh,2022,Basic access to computers by level of education: Lower secondary,76
50,Bangladesh,2022,Basic access to computers by level of education: Upper secondary,78
52,Barbados,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2
52,Barbados,2005,All staff compensation as % of total expenditure in public institutions (%),79.9
52,Barbados,2005,Capital expenditure as % of total expenditure in public institutions (%),4.0
52,Barbados,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.4
52,Barbados,2010,All staff compensation as % of total expenditure in public institutions (%),83.4
52,Barbados,2010,Capital expenditure as % of total expenditure in public institutions (%),6.2
52,Barbados,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),47.8
52,Barbados,2014,All staff compensation as % of total expenditure in public institutions (%),48.6
52,Barbados,2014,Capital expenditure as % of total expenditure in public institutions (%),3.6
52,Barbados,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.0
52,Barbados,2022,All staff compensation as % of total expenditure in public institutions (%),53.8
52,Barbados,2022,Capital expenditure as % of total expenditure in public institutions (%),1.2
112,Belarus,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.1
112,Belarus,2005,All staff compensation as % of total expenditure in public institutions (%),65.2
112,Belarus,2005,Capital expenditure as % of total expenditure in public institutions (%),4.8
112,Belarus,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.5
112,Belarus,2010,All staff compensation as % of total expenditure in public institutions (%),62.6
112,Belarus,2010,Capital expenditure as % of total expenditure in public institutions (%),10.9
112,Belarus,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.4
112,Belarus,2015,All staff compensation as % of total expenditure in public institutions (%),68.9
112,Belarus,2015,Capital expenditure as % of total expenditure in public institutions (%),4.8
112,Belarus,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.0
112,Belarus,2021,All staff compensation as % of total expenditure in public institutions (%),68.8
112,Belarus,2021,Capital expenditure as % of total expenditure in public institutions (%),9.2
112,Belarus,2021,Basic access to computers by level of education: Primary,100.0
112,Belarus,2021,Basic access to computers by level of education: Lower secondary,100
112,Belarus,2021,Basic access to computers by level of education: Upper secondary,100
112,Belarus,2022,Basic access to computers by level of education: Primary,100.0
112,Belarus,2022,Basic access to computers by level of education: Lower secondary,100
112,Belarus,2022,Basic access to computers by level of education: Upper secondary,100
56,Belgium,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.7
56,Belgium,2005,All staff compensation as % of total expenditure in public institutions (%),85.5
56,Belgium,2005,Capital expenditure as % of total expenditure in public institutions (%),2.8
56,Belgium,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.9
56,Belgium,2010,All staff compensation as % of total expenditure in public institutions (%),84.3
56,Belgium,2010,Capital expenditure as % of total expenditure in public institutions (%),3.8
56,Belgium,2010,Basic access to computers by level of education: Primary,100.0
56,Belgium,2010,Basic access to computers by level of education: Lower secondary,100
56,Belgium,2010,Basic access to computers by level of education: Upper secondary,100
56,Belgium,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.9
56,Belgium,2015,All staff compensation as % of total expenditure in public institutions (%),81.0
56,Belgium,2015,Capital expenditure as % of total expenditure in public institutions (%),5.0
56,Belgium,2015,Basic access to computers by level of education: Primary,100.0
56,Belgium,2015,Basic access to computers by level of education: Upper secondary,100
56,Belgium,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.8
56,Belgium,2018,All staff compensation as % of total expenditure in public institutions (%),81.7
56,Belgium,2018,Capital expenditure as % of total expenditure in public institutions (%),5.4
56,Belgium,2018,Basic access to computers by level of education: Primary,100.0
56,Belgium,2018,Basic access to computers by level of education: Upper secondary,100
56,Belgium,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.6
56,Belgium,2019,All staff compensation as % of total expenditure in public institutions (%),83.0
56,Belgium,2019,Capital expenditure as % of total expenditure in public institutions (%),5.4
56,Belgium,2019,Basic access to computers by level of education: Primary,96.8
56,Belgium,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.6
56,Belgium,2020,All staff compensation as % of total expenditure in public institutions (%),82.2
56,Belgium,2020,Capital expenditure as % of total expenditure in public institutions (%),5.1
84,Belize,2003,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.3
84,Belize,2003,All staff compensation as % of total expenditure in public institutions (%),62.3
84,Belize,2003,Capital expenditure as % of total expenditure in public institutions (%),19.3
204,Benin,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.3
204,Benin,2005,All staff compensation as % of total expenditure in public institutions (%),73.0
204,Benin,2005,Capital expenditure as % of total expenditure in public institutions (%),13.7
204,Benin,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.2
204,Benin,2010,All staff compensation as % of total expenditure in public institutions (%),85.7
204,Benin,2010,Capital expenditure as % of total expenditure in public institutions (%),8.2
204,Benin,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.2
204,Benin,2015,All staff compensation as % of total expenditure in public institutions (%),69.5
204,Benin,2015,Capital expenditure as % of total expenditure in public institutions (%),8.3
204,Benin,2022,Basic access to computers by level of education: Lower secondary,29
204,Benin,2022,Basic access to computers by level of education: Upper secondary,37
60,Bermuda,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.6
60,Bermuda,2015,All staff compensation as % of total expenditure in public institutions (%),79.9
60,Bermuda,2015,Capital expenditure as % of total expenditure in public institutions (%),1.5
60,Bermuda,2016,Basic access to computers by level of education: Primary,100.0
60,Bermuda,2016,Basic access to computers by level of education: Lower secondary,100
60,Bermuda,2016,Basic access to computers by level of education: Upper secondary,100
64,Bhutan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),50.1
64,Bhutan,2015,All staff compensation as % of total expenditure in public institutions (%),35.9
64,Bhutan,2015,Capital expenditure as % of total expenditure in public institutions (%),14.0
64,Bhutan,2015,Basic access to computers by level of education: Primary,14.5
64,Bhutan,2015,Basic access to computers by level of education: Upper secondary,86
64,Bhutan,2022,Basic access to computers by level of education: Primary,85.9
64,Bhutan,2022,Basic access to computers by level of education: Lower secondary,97
64,Bhutan,2022,Basic access to computers by level of education: Upper secondary,100
68,Bolivia (Plurin. State of),2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.1
68,Bolivia (Plurin. State of),2010,All staff compensation as % of total expenditure in public institutions (%),66.8
68,Bolivia (Plurin. State of),2010,Capital expenditure as % of total expenditure in public institutions (%),10.0
68,Bolivia (Plurin. State of),2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.3
68,Bolivia (Plurin. State of),2013,All staff compensation as % of total expenditure in public institutions (%),67.3
68,Bolivia (Plurin. State of),2013,Capital expenditure as % of total expenditure in public institutions (%),14.4
68,Bolivia (Plurin. State of),2013,Basic access to computers by level of education: Primary,14.4
68,Bolivia (Plurin. State of),2013,Basic access to computers by level of education: Lower secondary,23
68,Bolivia (Plurin. State of),2013,Basic access to computers by level of education: Upper secondary,28
68,Bolivia (Plurin. State of),2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.5
68,Bolivia (Plurin. State of),2015,All staff compensation as % of total expenditure in public institutions (%),69.1
68,Bolivia (Plurin. State of),2015,Capital expenditure as % of total expenditure in public institutions (%),13.4
68,Bolivia (Plurin. State of),2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.0
68,Bolivia (Plurin. State of),2022,All staff compensation as % of total expenditure in public institutions (%),82.4
68,Bolivia (Plurin. State of),2022,Capital expenditure as % of total expenditure in public institutions (%),3.6
70,Bosnia and Herzegovina,2019,Basic access to computers by level of education: Primary,27.9
72,Botswana,2009,Capital expenditure as % of total expenditure in public institutions (%),9.8
72,Botswana,2012,Basic access to computers by level of education: Lower secondary,100
72,Botswana,2012,Basic access to computers by level of education: Upper secondary,100
76,Brazil,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.6
76,Brazil,2005,All staff compensation as % of total expenditure in public institutions (%),70.3
76,Brazil,2005,Capital expenditure as % of total expenditure in public institutions (%),6.1
76,Brazil,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.3
76,Brazil,2010,All staff compensation as % of total expenditure in public institutions (%),68.5
76,Brazil,2010,Capital expenditure as % of total expenditure in public institutions (%),7.2
76,Brazil,2010,Basic access to computers by level of education: Primary,40.5
76,Brazil,2010,Basic access to computers by level of education: Lower secondary,72
76,Brazil,2010,Basic access to computers by level of education: Upper secondary,90
76,Brazil,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.0
76,Brazil,2013,All staff compensation as % of total expenditure in public institutions (%),69.7
76,Brazil,2013,Capital expenditure as % of total expenditure in public institutions (%),6.2
76,Brazil,2013,Basic access to computers by level of education: Primary,79.5
76,Brazil,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3
76,Brazil,2015,All staff compensation as % of total expenditure in public institutions (%),74.7
76,Brazil,2015,Capital expenditure as % of total expenditure in public institutions (%),3.9
76,Brazil,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.9
76,Brazil,2017,All staff compensation as % of total expenditure in public institutions (%),74.6
76,Brazil,2017,Capital expenditure as % of total expenditure in public institutions (%),2.5
76,Brazil,2017,Basic access to computers by level of education: Primary,53.5
76,Brazil,2017,Basic access to computers by level of education: Lower secondary,73
76,Brazil,2017,Basic access to computers by level of education: Upper secondary,86
76,Brazil,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.3
76,Brazil,2020,All staff compensation as % of total expenditure in public institutions (%),75.9
76,Brazil,2020,Capital expenditure as % of total expenditure in public institutions (%),3.7
76,Brazil,2021,Basic access to computers by level of education: Primary,29.0
92,British Virgin Islands,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.3
92,British Virgin Islands,2004,All staff compensation as % of total expenditure in public institutions (%),90.3
92,British Virgin Islands,2004,Capital expenditure as % of total expenditure in public institutions (%),7.4
92,British Virgin Islands,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),0.7
92,British Virgin Islands,2005,All staff compensation as % of total expenditure in public institutions (%),99.3
92,British Virgin Islands,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.1
92,British Virgin Islands,2007,All staff compensation as % of total expenditure in public institutions (%),77.8
92,British Virgin Islands,2007,Capital expenditure as % of total expenditure in public institutions (%),7.1
92,British Virgin Islands,2010,Basic access to computers by level of education: Primary,100.0
92,British Virgin Islands,2010,Basic access to computers by level of education: Lower secondary,100
92,British Virgin Islands,2010,Basic access to computers by level of education: Upper secondary,100
92,British Virgin Islands,2022,Basic access to computers by level of education: Primary,65.6
92,British Virgin Islands,2022,Basic access to computers by level of education: Lower secondary,100
92,British Virgin Islands,2022,Basic access to computers by level of education: Upper secondary,100
96,Brunei Darussalam,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.6
96,Brunei Darussalam,2016,All staff compensation as % of total expenditure in public institutions (%),66.2
96,Brunei Darussalam,2016,Capital expenditure as % of total expenditure in public institutions (%),3.2
96,Brunei Darussalam,2016,Basic access to computers by level of education: Lower secondary,100
96,Brunei Darussalam,2016,Basic access to computers by level of education: Upper secondary,100
96,Brunei Darussalam,2020,Basic access to computers by level of education: Lower secondary,100
96,Brunei Darussalam,2020,Basic access to computers by level of education: Upper secondary,100
100,Bulgaria,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.7
100,Bulgaria,2005,All staff compensation as % of total expenditure in public institutions (%),63.2
100,Bulgaria,2005,Capital expenditure as % of total expenditure in public institutions (%),10.1
100,Bulgaria,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.4
100,Bulgaria,2010,All staff compensation as % of total expenditure in public institutions (%),66.6
100,Bulgaria,2010,Capital expenditure as % of total expenditure in public institutions (%),5.1
100,Bulgaria,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
100,Bulgaria,2013,All staff compensation as % of total expenditure in public institutions (%),71.8
100,Bulgaria,2013,Capital expenditure as % of total expenditure in public institutions (%),7.3
100,Bulgaria,2015,Basic access to computers by level of education: Primary,43.3
100,Bulgaria,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.0
100,Bulgaria,2020,All staff compensation as % of total expenditure in public institutions (%),75.4
100,Bulgaria,2020,Capital expenditure as % of total expenditure in public institutions (%),4.5
100,Bulgaria,2021,Basic access to computers by level of education: Primary,68.7
854,Burkina Faso,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.0
854,Burkina Faso,2007,All staff compensation as % of total expenditure in public institutions (%),56.7
854,Burkina Faso,2007,Capital expenditure as % of total expenditure in public institutions (%),35.3
854,Burkina Faso,2021,Basic access to computers by level of education: Primary,0.6
854,Burkina Faso,2021,Basic access to computers by level of education: Lower secondary,4
854,Burkina Faso,2021,Basic access to computers by level of education: Upper secondary,3
108,Burundi,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.7
108,Burundi,2004,All staff compensation as % of total expenditure in public institutions (%),57.8
108,Burundi,2004,Capital expenditure as % of total expenditure in public institutions (%),26.6
108,Burundi,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.7
108,Burundi,2010,All staff compensation as % of total expenditure in public institutions (%),68.5
108,Burundi,2010,Capital expenditure as % of total expenditure in public institutions (%),7.9
108,Burundi,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.5
108,Burundi,2012,All staff compensation as % of total expenditure in public institutions (%),77.6
108,Burundi,2012,Capital expenditure as % of total expenditure in public institutions (%),1.9
108,Burundi,2018,Basic access to computers by level of education: Primary,0.0
108,Burundi,2018,Basic access to computers by level of education: Upper secondary,17
108,Burundi,2019,Basic access to computers by level of education: Primary,0.0
108,Burundi,2019,Basic access to computers by level of education: Lower secondary,0
132,Cabo Verde,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.1
132,Cabo Verde,2005,All staff compensation as % of total expenditure in public institutions (%),82.4
132,Cabo Verde,2005,Capital expenditure as % of total expenditure in public institutions (%),16.7
132,Cabo Verde,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.6
132,Cabo Verde,2010,All staff compensation as % of total expenditure in public institutions (%),77.1
132,Cabo Verde,2010,Capital expenditure as % of total expenditure in public institutions (%),7.3
132,Cabo Verde,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.3
132,Cabo Verde,2015,All staff compensation as % of total expenditure in public institutions (%),82.0
132,Cabo Verde,2015,Capital expenditure as % of total expenditure in public institutions (%),3.6
132,Cabo Verde,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.2
132,Cabo Verde,2016,All staff compensation as % of total expenditure in public institutions (%),82.8
132,Cabo Verde,2016,Capital expenditure as % of total expenditure in public institutions (%),4.9
132,Cabo Verde,2016,Basic access to computers by level of education: Lower secondary,100
132,Cabo Verde,2016,Basic access to computers by level of education: Upper secondary,100
