Region/Country/Area,Country/Area name,Year,Variables,"Teaching staff at the primary, lower secondary and upper secondary levels"
21,Northern America,2005,Teachers at lower secondary level,"889,242"
21,Northern America,2005,Teachers at upper secondary level,"897,377"
21,Northern America,2010,Teachers at primary level,"1,830,439"
21,Northern America,2010,Teachers at lower secondary level,"862,886"
21,Northern America,2010,Teachers at upper secondary level,"933,482"
21,Northern America,2015,Teachers at primary level,"1,925,142"
21,Northern America,2015,Teachers with minimum required qualifications at primary level,99.1
21,Northern America,2015,Teachers at lower secondary level,"890,500"
21,Northern America,2015,Teachers with minimum required qualifications at lower secondary level,99.3
21,Northern America,2015,Teachers at upper secondary level,"912,037"
21,Northern America,2015,Teachers with minimum required qualifications at upper secondary level,98.4
21,Northern America,2022,Teachers at primary level,"2,044,659"
21,Northern America,2022,Teachers with minimum required qualifications at primary level,95.4
21,Northern America,2022,Teachers at lower secondary level,"981,790"
21,Northern America,2022,Teachers with minimum required qualifications at lower secondary level,94.1
21,Northern America,2022,Teachers at upper secondary level,"988,386"
21,Northern America,2022,Teachers with minimum required qualifications at upper secondary level,91.8
419,Latin America & the Caribbean,2005,Teachers at primary level,"2,974,792"
419,Latin America & the Caribbean,2005,Teachers at lower secondary level,"2,053,961"
419,Latin America & the Caribbean,2005,Teachers at upper secondary level,"1,423,493"
419,Latin America & the Caribbean,2007,Teachers at primary level,"2,911,268"
419,Latin America & the Caribbean,2007,Teachers with minimum required qualifications at primary level,81.5
419,Latin America & the Caribbean,2007,Teachers at lower secondary level,"1,886,417"
419,Latin America & the Caribbean,2007,Teachers with minimum required qualifications at lower secondary level,80.6
419,Latin America & the Caribbean,2007,Teachers at upper secondary level,"1,375,925"
419,Latin America & the Caribbean,2007,Teachers with minimum required qualifications at upper secondary level,90.3
419,Latin America & the Caribbean,2009,Teachers at primary level,"2,950,467"
419,Latin America & the Caribbean,2009,Teachers with minimum required qualifications at primary level,80.8
419,Latin America & the Caribbean,2009,Teachers at lower secondary level,"2,005,038"
419,Latin America & the Caribbean,2009,Teachers with minimum required qualifications at lower secondary level,78.2
419,Latin America & the Caribbean,2009,Teachers at upper secondary level,"1,490,930"
419,Latin America & the Caribbean,2010,Teachers at primary level,"2,955,008"
419,Latin America & the Caribbean,2010,Teachers with minimum required qualifications at primary level,80.7
419,Latin America & the Caribbean,2010,Teachers at lower secondary level,"2,039,144"
419,Latin America & the Caribbean,2010,Teachers at upper secondary level,"1,540,270"
419,Latin America & the Caribbean,2012,Teachers at primary level,"2,976,561"
419,Latin America & the Caribbean,2012,Teachers with minimum required qualifications at primary level,80.9
419,Latin America & the Caribbean,2012,Teachers at lower secondary level,"2,088,764"
419,Latin America & the Caribbean,2012,Teachers with minimum required qualifications at lower secondary level,77.8
419,Latin America & the Caribbean,2012,Teachers at upper secondary level,"1,605,277"
419,Latin America & the Caribbean,2012,Teachers with minimum required qualifications at upper secondary level,83.7
419,Latin America & the Caribbean,2015,Teachers at primary level,"3,039,662"
419,Latin America & the Caribbean,2015,Teachers with minimum required qualifications at primary level,78.8
419,Latin America & the Caribbean,2015,Teachers at lower secondary level,"1,963,531"
419,Latin America & the Caribbean,2015,Teachers at upper secondary level,"1,955,319"
419,Latin America & the Caribbean,2022,Teachers at primary level,"3,071,363"
419,Latin America & the Caribbean,2022,Teachers with minimum required qualifications at primary level,80.2
419,Latin America & the Caribbean,2022,Teachers at lower secondary level,"2,033,908"
419,Latin America & the Caribbean,2022,Teachers with minimum required qualifications at lower secondary level,78.8
419,Latin America & the Caribbean,2022,Teachers at upper secondary level,"2,092,479"
419,Latin America & the Caribbean,2022,Teachers with minimum required qualifications at upper secondary level,73.3
143,Central Asia,2005,Teachers at primary level,"242,661"
143,Central Asia,2005,Teachers with minimum required qualifications at primary level,94.2
143,Central Asia,2010,Teachers at primary level,"225,484"
143,Central Asia,2010,Teachers with minimum required qualifications at primary level,96.9
143,Central Asia,2015,Teachers at primary level,"252,032"
143,Central Asia,2015,Teachers with minimum required qualifications at primary level,99.5
143,Central Asia,2015,Teachers at lower secondary level,"555,888"
143,Central Asia,2015,Teachers at upper secondary level,"241,199"
143,Central Asia,2018,Teachers at primary level,"265,238"
143,Central Asia,2018,Teachers with minimum required qualifications at primary level,98.2
143,Central Asia,2018,Teachers at lower secondary level,"597,175"
143,Central Asia,2018,Teachers with minimum required qualifications at lower secondary level,93.6
143,Central Asia,2018,Teachers at upper secondary level,"250,777"
143,Central Asia,2018,Teachers with minimum required qualifications at upper secondary level,99.2
143,Central Asia,2022,Teachers at primary level,"302,004"
143,Central Asia,2022,Teachers with minimum required qualifications at primary level,94.9
30,Eastern Asia,2005,Teachers at primary level,"6,633,349"
30,Eastern Asia,2005,Teachers at lower secondary level,"4,144,468"
30,Eastern Asia,2005,Teachers at upper secondary level,"2,512,553"
30,Eastern Asia,2010,Teachers at primary level,"6,663,567"
30,Eastern Asia,2010,Teachers at lower secondary level,"4,114,815"
30,Eastern Asia,2010,Teachers at upper secondary level,"3,315,633"
30,Eastern Asia,2015,Teachers at primary level,"6,577,011"
30,Eastern Asia,2015,Teachers at lower secondary level,"4,034,653"
30,Eastern Asia,2015,Teachers at upper secondary level,"3,246,236"
30,Eastern Asia,2022,Teachers at primary level,"7,416,904"
30,Eastern Asia,2022,Teachers at lower secondary level,"4,485,418"
30,Eastern Asia,2022,Teachers at upper secondary level,"3,596,346"
62,South-central Asia,2005,Teachers at primary level,"4,919,128"
62,South-central Asia,2005,Teachers at lower secondary level,"2,802,959"
62,South-central Asia,2005,Teachers at upper secondary level,"2,165,628"
62,South-central Asia,2010,Teachers at primary level,"5,552,573"
62,South-central Asia,2010,Teachers at lower secondary level,"3,242,259"
62,South-central Asia,2010,Teachers at upper secondary level,"3,225,281"
62,South-central Asia,2015,Teachers at primary level,"6,307,102"
62,South-central Asia,2015,Teachers with minimum required qualifications at primary level,72.4
62,South-central Asia,2015,Teachers at lower secondary level,"3,649,646"
62,South-central Asia,2015,Teachers with minimum required qualifications at lower secondary level,84.4
62,South-central Asia,2015,Teachers at upper secondary level,"2,886,954"
62,South-central Asia,2022,Teachers at primary level,"6,729,956"
62,South-central Asia,2022,Teachers with minimum required qualifications at primary level,85.3
62,South-central Asia,2022,Teachers at lower secondary level,"5,115,535"
62,South-central Asia,2022,Teachers with minimum required qualifications at lower secondary level,84.3
62,South-central Asia,2022,Teachers at upper secondary level,"4,342,658"
62,South-central Asia,2022,Teachers with minimum required qualifications at upper secondary level,93.9
35,South-eastern Asia,2005,Teachers at primary level,"2,937,432"
35,South-eastern Asia,2005,Teachers at lower secondary level,"1,471,724"
35,South-eastern Asia,2005,Teachers at upper secondary level,"709,948"
35,South-eastern Asia,2010,Teachers at primary level,"3,242,386"
35,South-eastern Asia,2010,Teachers at lower secondary level,"1,723,380"
35,South-eastern Asia,2010,Teachers at upper secondary level,"880,324"
35,South-eastern Asia,2015,Teachers at primary level,"3,708,197"
35,South-eastern Asia,2015,Teachers with minimum required qualifications at primary level,97.8
35,South-eastern Asia,2015,Teachers at lower secondary level,"1,850,496"
35,South-eastern Asia,2015,Teachers with minimum required qualifications at lower secondary level,97.9
35,South-eastern Asia,2015,Teachers at upper secondary level,"888,958"
35,South-eastern Asia,2015,Teachers with minimum required qualifications at upper secondary level,96.3
35,South-eastern Asia,2021,Teachers at primary level,"3,681,887"
35,South-eastern Asia,2021,Teachers with minimum required qualifications at primary level,93.8
35,South-eastern Asia,2021,Teachers at lower secondary level,"1,996,262"
35,South-eastern Asia,2021,Teachers with minimum required qualifications at lower secondary level,93.8
35,South-eastern Asia,2021,Teachers at upper secondary level,"1,078,811"
35,South-eastern Asia,2021,Teachers with minimum required qualifications at upper secondary level,97.5
34,Southern Asia,2005,Teachers at primary level,"4,676,466"
34,Southern Asia,2005,Teachers at lower secondary level,"2,215,682"
34,Southern Asia,2005,Teachers at upper secondary level,"1,939,928"
34,Southern Asia,2010,Teachers at primary level,"5,327,088"
34,Southern Asia,2010,Teachers at lower secondary level,"2,704,243"
34,Southern Asia,2010,Teachers at upper secondary level,"2,999,879"
34,Southern Asia,2015,Teachers at primary level,"6,055,070"
34,Southern Asia,2015,Teachers with minimum required qualifications at primary level,71.2
34,Southern Asia,2015,Teachers at lower secondary level,"3,093,758"
34,Southern Asia,2015,Teachers with minimum required qualifications at lower secondary level,82.6
34,Southern Asia,2015,Teachers at upper secondary level,"2,645,755"
34,Southern Asia,2022,Teachers at primary level,"6,427,952"
34,Southern Asia,2022,Teachers with minimum required qualifications at primary level,84.8
34,Southern Asia,2022,Teachers at lower secondary level,"4,461,711"
34,Southern Asia,2022,Teachers with minimum required qualifications at lower secondary level,84.0
34,Southern Asia,2022,Teachers at upper secondary level,"4,092,349"
34,Southern Asia,2022,Teachers with minimum required qualifications at upper secondary level,93.5
145,Western Asia,2004,Teachers at primary level,"1,230,528"
145,Western Asia,2004,Teachers with minimum required qualifications at primary level,93.3
145,Western Asia,2004,Teachers at lower secondary level,"794,804"
145,Western Asia,2004,Teachers at upper secondary level,"525,179"
145,Western Asia,2005,Teachers at primary level,"1,292,949"
145,Western Asia,2005,Teachers at lower secondary level,"817,596"
145,Western Asia,2005,Teachers at upper secondary level,"538,000"
145,Western Asia,2010,Teachers at primary level,"1,440,371"
145,Western Asia,2010,Teachers with minimum required qualifications at primary level,89.1
145,Western Asia,2010,Teachers at lower secondary level,"924,296"
145,Western Asia,2010,Teachers at upper secondary level,"682,472"
145,Western Asia,2015,Teachers at primary level,"1,580,794"
145,Western Asia,2015,Teachers with minimum required qualifications at primary level,85.0
145,Western Asia,2015,Teachers at lower secondary level,"964,440"
145,Western Asia,2015,Teachers with minimum required qualifications at lower secondary level,86.1
145,Western Asia,2015,Teachers at upper secondary level,"849,121"
145,Western Asia,2021,Teachers at primary level,"1,601,598"
145,Western Asia,2021,Teachers with minimum required qualifications at primary level,81.1
145,Western Asia,2021,Teachers at lower secondary level,"1,082,613"
145,Western Asia,2021,Teachers with minimum required qualifications at lower secondary level,84.6
145,Western Asia,2021,Teachers at upper secondary level,"936,973"
145,Western Asia,2021,Teachers with minimum required qualifications at upper secondary level,84.8
145,Western Asia,2022,Teachers at primary level,"1,617,884"
145,Western Asia,2022,Teachers with minimum required qualifications at primary level,78.0
145,Western Asia,2022,Teachers at lower secondary level,"1,090,482"
145,Western Asia,2022,Teachers with minimum required qualifications at lower secondary level,83.7
145,Western Asia,2022,Teachers at upper secondary level,"948,226"
150,Europe,2005,Teachers at primary level,"2,673,746"
150,Europe,2005,Teachers at lower secondary level,"3,256,231"
150,Europe,2005,Teachers at upper secondary level,"2,572,538"
150,Europe,2010,Teachers at primary level,"2,673,047"
150,Europe,2010,Teachers with minimum required qualifications at primary level,97.4
150,Europe,2010,Teachers at lower secondary level,"3,119,051"
150,Europe,2010,Teachers at upper secondary level,"2,360,896"
150,Europe,2015,Teachers at primary level,"2,733,121"
150,Europe,2015,Teachers with minimum required qualifications at primary level,93.7
150,Europe,2015,Teachers at lower secondary level,"3,067,590"
150,Europe,2015,Teachers at upper secondary level,"2,303,397"
150,Europe,2019,Teachers at primary level,"2,867,349"
150,Europe,2019,Teachers with minimum required qualifications at primary level,93.9
150,Europe,2019,Teachers at lower secondary level,"3,215,582"
150,Europe,2019,Teachers at upper secondary level,"2,297,917"
150,Europe,2022,Teachers at primary level,"2,817,495"
150,Europe,2022,Teachers at lower secondary level,"3,440,343"
150,Europe,2022,Teachers at upper secondary level,"2,364,360"
9,Oceania,2005,Teachers at primary level,"158,795"
9,Oceania,2010,Teachers at primary level,"174,934"
9,Oceania,2015,Teachers at primary level,"194,451"
9,Oceania,2017,Teachers at primary level,"199,304"
543,Oceania (exc. Australia and New Zealand),2005,Teachers at primary level,"28,870"
543,Oceania (exc. Australia and New Zealand),2005,Teachers at lower secondary level,"13,245"
543,Oceania (exc. Australia and New Zealand),2005,Teachers at upper secondary level,"7,489"
543,Oceania (exc. Australia and New Zealand),2010,Teachers at primary level,"38,158"
543,Oceania (exc. Australia and New Zealand),2010,Teachers at lower secondary level,"13,849"
543,Oceania (exc. Australia and New Zealand),2010,Teachers at upper secondary level,"10,243"
543,Oceania (exc. Australia and New Zealand),2013,Teachers at primary level,"47,542"
543,Oceania (exc. Australia and New Zealand),2013,Teachers at lower secondary level,"14,719"
543,Oceania (exc. Australia and New Zealand),2013,Teachers with minimum required qualifications at lower secondary level,89.3
543,Oceania (exc. Australia and New Zealand),2013,Teachers at upper secondary level,"12,286"
543,Oceania (exc. Australia and New Zealand),2013,Teachers with minimum required qualifications at upper secondary level,92.8
543,Oceania (exc. Australia and New Zealand),2015,Teachers at primary level,"49,297"
543,Oceania (exc. Australia and New Zealand),2015,Teachers at lower secondary level,"15,027"
543,Oceania (exc. Australia and New Zealand),2015,Teachers at upper secondary level,"13,412"
543,Oceania (exc. Australia and New Zealand),2017,Teachers at primary level,"49,532"
543,Oceania (exc. Australia and New Zealand),2017,Teachers at lower secondary level,"15,464"
543,Oceania (exc. Australia and New Zealand),2017,Teachers at upper secondary level,"13,458"
4,Afghanistan,2007,Teachers at primary level,"110,312"
4,Afghanistan,2007,Teachers at lower secondary level,"23,539"
4,Afghanistan,2007,Teachers at upper secondary level,"9,278"
4,Afghanistan,2010,Teachers at primary level,"118,858"
4,Afghanistan,2010,Teachers at lower secondary level,"33,856"
4,Afghanistan,2015,Teachers at primary level,"142,880"
4,Afghanistan,2015,Teachers at lower secondary level,"52,359"
4,Afghanistan,2015,Teachers at upper secondary level,"30,567"
4,Afghanistan,2019,Teachers at primary level,"135,751"
4,Afghanistan,2019,Teachers at lower secondary level,"60,007"
4,Afghanistan,2019,Teachers at upper secondary level,"34,365"
8,Albania,2003,Teachers at primary level,"11,762"
8,Albania,2003,Teachers at lower secondary level,"16,028"
8,Albania,2003,Teachers at upper secondary level,"6,396"
8,Albania,2005,Teachers at upper secondary level,"7,384"
8,Albania,2010,Teachers at primary level,"11,409"
8,Albania,2010,Teachers at lower secondary level,"15,832"
8,Albania,2010,Teachers at upper secondary level,"8,250"
8,Albania,2015,Teachers at primary level,"10,119"
8,Albania,2015,Teachers at lower secondary level,"14,658"
8,Albania,2015,Teachers at upper secondary level,"8,671"
8,Albania,2021,Teachers at primary level,"9,738"
8,Albania,2021,Teachers with minimum required qualifications at primary level,61.8
8,Albania,2021,Teachers at lower secondary level,"14,705"
8,Albania,2021,Teachers with minimum required qualifications at lower secondary level,70.6
8,Albania,2021,Teachers at upper secondary level,"8,584"
8,Albania,2021,Teachers with minimum required qualifications at upper secondary level,60.9
8,Albania,2022,Teachers at primary level,"9,668"
8,Albania,2022,Teachers at lower secondary level,"14,732"
8,Albania,2022,Teachers at upper secondary level,"8,658"
12,Algeria,2005,Teachers at primary level,"171,471"
12,Algeria,2005,Teachers with minimum required qualifications at primary level,98.5
12,Algeria,2007,Teachers at primary level,"170,775"
12,Algeria,2007,Teachers with minimum required qualifications at primary level,98.9
12,Algeria,2010,Teachers at primary level,"141,994"
12,Algeria,2015,Teachers at primary level,"164,684"
12,Algeria,2015,Teachers with minimum required qualifications at primary level,100.0
12,Algeria,2023,Teachers at primary level,"212,345"
12,Algeria,2023,Teachers with minimum required qualifications at primary level,91.5
20,Andorra,2005,Teachers at primary level,356
20,Andorra,2005,Teachers at lower secondary level,414
20,Andorra,2005,Teachers at upper secondary level,68
20,Andorra,2010,Teachers at primary level,453
20,Andorra,2010,Teachers with minimum required qualifications at primary level,100.0
20,Andorra,2010,Teachers at lower secondary level,417
20,Andorra,2010,Teachers with minimum required qualifications at lower secondary level,100.0
20,Andorra,2012,Teachers at primary level,431
20,Andorra,2012,Teachers with minimum required qualifications at primary level,100.0
20,Andorra,2012,Teachers at lower secondary level,417
20,Andorra,2012,Teachers with minimum required qualifications at lower secondary level,100.0
20,Andorra,2015,Teachers at primary level,419
20,Andorra,2015,Teachers with minimum required qualifications at primary level,100.0
20,Andorra,2022,Teachers at primary level,422
20,Andorra,2022,Teachers with minimum required qualifications at primary level,100.0
20,Andorra,2022,Teachers with minimum required qualifications at upper secondary level,100.0
24,Angola,2010,Teachers at primary level,"93,734"
24,Angola,2010,Teachers at lower secondary level,"15,383"
24,Angola,2011,Teachers at primary level,"118,158"
24,Angola,2011,Teachers with minimum required qualifications at primary level,47.5
24,Angola,2011,Teachers at lower secondary level,"17,475"
24,Angola,2011,Teachers at upper secondary level,"14,804"
24,Angola,2015,Teachers at primary level,"112,352"
24,Angola,2015,Teachers at lower secondary level,"51,159"
24,Angola,2015,Teachers with minimum required qualifications at lower secondary level,53.5
24,Angola,2015,Teachers at upper secondary level,"21,700"
24,Angola,2015,Teachers with minimum required qualifications at upper secondary level,46.7
24,Angola,2016,Teachers at primary level,"95,827"
24,Angola,2016,Teachers at lower secondary level,"53,242"
24,Angola,2016,Teachers at upper secondary level,"22,755"
24,Angola,2018,Teachers at primary level,"88,563"
660,Anguilla,2005,Teachers at primary level,94
660,Anguilla,2005,Teachers with minimum required qualifications at primary level,68.1
660,Anguilla,2010,Teachers at primary level,112
660,Anguilla,2010,Teachers with minimum required qualifications at primary level,52.7
660,Anguilla,2015,Teachers at primary level,80
660,Anguilla,2015,Teachers with minimum required qualifications at primary level,75.0
660,Anguilla,2022,Teachers at primary level,70
28,Antigua and Barbuda,2000,Teachers at primary level,695
28,Antigua and Barbuda,2000,Teachers with minimum required qualifications at primary level,46.9
28,Antigua and Barbuda,2000,Teachers at lower secondary level,273
28,Antigua and Barbuda,2000,Teachers with minimum required qualifications at lower secondary level,40.7
28,Antigua and Barbuda,2000,Teachers at upper secondary level,121
28,Antigua and Barbuda,2000,Teachers with minimum required qualifications at upper secondary level,62.0
28,Antigua and Barbuda,2010,Teachers at primary level,747
28,Antigua and Barbuda,2010,Teachers with minimum required qualifications at primary level,54.8
28,Antigua and Barbuda,2010,Teachers at lower secondary level,369
28,Antigua and Barbuda,2010,Teachers with minimum required qualifications at lower secondary level,38.2
28,Antigua and Barbuda,2010,Teachers at upper secondary level,325
28,Antigua and Barbuda,2010,Teachers with minimum required qualifications at upper secondary level,48.3
28,Antigua and Barbuda,2012,Teachers at primary level,755
28,Antigua and Barbuda,2012,Teachers with minimum required qualifications at primary level,60.1
28,Antigua and Barbuda,2012,Teachers at lower secondary level,499
28,Antigua and Barbuda,2012,Teachers at upper secondary level,224
28,Antigua and Barbuda,2015,Teachers at primary level,703
28,Antigua and Barbuda,2015,Teachers with minimum required qualifications at primary level,65.3
28,Antigua and Barbuda,2019,Teachers at primary level,852
28,Antigua and Barbuda,2019,Teachers with minimum required qualifications at primary level,47.5
32,Argentina,2005,Teachers at primary level,"279,349"
32,Argentina,2005,Teachers at lower secondary level,"119,954"
32,Argentina,2005,Teachers at upper secondary level,"136,930"
32,Argentina,2008,Teachers at primary level,"288,776"
32,Argentina,2008,Teachers at lower secondary level,"153,249"
32,Argentina,2008,Teachers at upper secondary level,"170,708"
32,Argentina,2010,Teachers at primary level,"258,025"
32,Argentina,2015,Teachers at primary level,"275,833"
32,Argentina,2022,Teachers at primary level,"292,277"
51,Armenia,2005,Teachers at primary level,"5,904"
51,Armenia,2005,Teachers with minimum required qualifications at primary level,77.5
51,Armenia,2007,Teachers at primary level,"6,606"
51,Armenia,2022,Teachers at primary level,"7,865"
51,Armenia,2022,Teachers with minimum required qualifications at primary level,81.3
51,Armenia,2022,Teachers at lower secondary level,"10,890"
51,Armenia,2022,Teachers with minimum required qualifications at lower secondary level,81.3
51,Armenia,2022,Teachers at upper secondary level,"12,666"
51,Armenia,2022,Teachers with minimum required qualifications at upper secondary level,83.0
533,Aruba,2005,Teachers at primary level,567
533,Aruba,2005,Teachers with minimum required qualifications at primary level,100.0
533,Aruba,2010,Teachers at primary level,586
533,Aruba,2010,Teachers with minimum required qualifications at primary level,100.0
533,Aruba,2012,Teachers at primary level,601
533,Aruba,2012,Teachers with minimum required qualifications at primary level,99.5
533,Aruba,2015,Teachers at primary level,615
533,Aruba,2016,Teachers at primary level,628
40,Austria,2005,Teachers at primary level,"29,239"
40,Austria,2005,Teachers at lower secondary level,"42,402"
40,Austria,2005,Teachers at upper secondary level,"28,733"
40,Austria,2010,Teachers at primary level,"29,743"
40,Austria,2010,Teachers at lower secondary level,"42,450"
40,Austria,2010,Teachers at upper secondary level,"32,126"
40,Austria,2015,Teachers at primary level,"30,972"
40,Austria,2015,Teachers at lower secondary level,"42,227"
40,Austria,2015,Teachers at upper secondary level,"29,936"
40,Austria,2022,Teachers at primary level,"31,243"
40,Austria,2022,Teachers at lower secondary level,"44,403"
40,Austria,2022,Teachers at upper secondary level,"30,573"
31,Azerbaijan,2005,Teachers at primary level,"42,243"
31,Azerbaijan,2005,Teachers with minimum required qualifications at primary level,100.0
31,Azerbaijan,2010,Teachers at primary level,"43,610"
31,Azerbaijan,2010,Teachers with minimum required qualifications at primary level,100.0
31,Azerbaijan,2015,Teachers at primary level,"40,830"
31,Azerbaijan,2015,Teachers with minimum required qualifications at primary level,99.3
31,Azerbaijan,2022,Teachers at primary level,"39,926"
31,Azerbaijan,2022,Teachers with minimum required qualifications at primary level,99.8
31,Azerbaijan,2022,Teachers at lower secondary level,"89,037"
31,Azerbaijan,2022,Teachers with minimum required qualifications at lower secondary level,99.7
31,Azerbaijan,2022,Teachers at upper secondary level,"27,957"
31,Azerbaijan,2022,Teachers with minimum required qualifications at upper secondary level,96.9
44,Bahamas,2004,Teachers at primary level,"2,150"
44,Bahamas,2004,Teachers with minimum required qualifications at primary level,91.5
44,Bahamas,2004,Teachers at lower secondary level,977
44,Bahamas,2004,Teachers at upper secondary level,"1,200"
44,Bahamas,2005,Teachers at lower secondary level,"1,030"
44,Bahamas,2005,Teachers with minimum required qualifications at lower secondary level,89.5
44,Bahamas,2005,Teachers at upper secondary level,"1,335"
44,Bahamas,2005,Teachers with minimum required qualifications at upper secondary level,91.5
44,Bahamas,2010,Teachers at primary level,"2,402"
44,Bahamas,2010,Teachers with minimum required qualifications at primary level,91.5
44,Bahamas,2010,Teachers at lower secondary level,"1,473"
44,Bahamas,2010,Teachers with minimum required qualifications at lower secondary level,89.0
44,Bahamas,2010,Teachers at upper secondary level,"1,364"
44,Bahamas,2010,Teachers with minimum required qualifications at upper secondary level,89.0
44,Bahamas,2015,Teachers at primary level,"1,555"
44,Bahamas,2015,Teachers with minimum required qualifications at primary level,89.6
44,Bahamas,2015,Teachers at lower secondary level,940
44,Bahamas,2015,Teachers with minimum required qualifications at lower secondary level,82.6
44,Bahamas,2015,Teachers at upper secondary level,"1,245"
