Region/Country/Area,Country/Area name,Year,Variables,"Ratio of girls to boys in primary, lower secondary and upper secondary education"
30,Eastern Asia,2010,Ratio of girls to boys in primary education,1.00
30,Eastern Asia,2015,Ratio of girls to boys in primary education,1.01
30,Eastern Asia,2020,Ratio of girls to boys in primary education,1.01
30,Eastern Asia,2021,Ratio of girls to boys in primary education,1.02
30,Eastern Asia,2022,Ratio of girls to boys in primary education,1.01
30,Eastern Asia,1995,Ratio of girls to boys in lower secondary education,0.89
30,Eastern Asia,2005,Ratio of girls to boys in lower secondary education,1.00
30,Eastern Asia,2010,Ratio of girls to boys in lower secondary education,1.03
30,Eastern Asia,2015,Ratio of girls to boys in lower secondary education,1.02
30,Eastern Asia,2020,Ratio of girls to boys in lower secondary education,1.01
30,Eastern Asia,2021,Ratio of girls to boys in lower secondary education,1.01
30,Eastern Asia,2022,Ratio of girls to boys in lower secondary education,1.01
30,Eastern Asia,1995,Ratio of girls to boys in upper secondary education,0.88
30,Eastern Asia,2005,Ratio of girls to boys in upper secondary education,1.00
30,Eastern Asia,2010,Ratio of girls to boys in upper secondary education,1.00
30,Eastern Asia,2015,Ratio of girls to boys in upper secondary education,1.06
30,Eastern Asia,2020,Ratio of girls to boys in upper secondary education,1.04
30,Eastern Asia,2021,Ratio of girls to boys in upper secondary education,1.03
30,Eastern Asia,2022,Ratio of girls to boys in upper secondary education,1.03
62,South-central Asia,1995,Ratio of girls to boys in primary education,0.81
62,South-central Asia,2005,Ratio of girls to boys in primary education,0.94
62,South-central Asia,2010,Ratio of girls to boys in primary education,0.98
62,South-central Asia,2015,Ratio of girls to boys in primary education,1.05
62,South-central Asia,2020,Ratio of girls to boys in primary education,0.99
62,South-central Asia,2021,Ratio of girls to boys in primary education,0.98
62,South-central Asia,2022,Ratio of girls to boys in primary education,0.98
62,South-central Asia,1995,Ratio of girls to boys in lower secondary education,0.78
62,South-central Asia,2005,Ratio of girls to boys in lower secondary education,0.89
62,South-central Asia,2010,Ratio of girls to boys in lower secondary education,0.95
62,South-central Asia,2015,Ratio of girls to boys in lower secondary education,1.02
62,South-central Asia,2020,Ratio of girls to boys in lower secondary education,1.02
62,South-central Asia,2021,Ratio of girls to boys in lower secondary education,1.01
62,South-central Asia,2022,Ratio of girls to boys in lower secondary education,1.01
62,South-central Asia,1995,Ratio of girls to boys in upper secondary education,0.51
62,South-central Asia,2005,Ratio of girls to boys in upper secondary education,0.81
62,South-central Asia,2010,Ratio of girls to boys in upper secondary education,0.89
62,South-central Asia,2015,Ratio of girls to boys in upper secondary education,0.94
62,South-central Asia,2020,Ratio of girls to boys in upper secondary education,0.94
62,South-central Asia,2021,Ratio of girls to boys in upper secondary education,0.91
62,South-central Asia,2022,Ratio of girls to boys in upper secondary education,0.95
35,South-eastern Asia,1995,Ratio of girls to boys in primary education,0.98
35,South-eastern Asia,2005,Ratio of girls to boys in primary education,0.98
35,South-eastern Asia,2010,Ratio of girls to boys in primary education,1.01
35,South-eastern Asia,2015,Ratio of girls to boys in primary education,0.98
35,South-eastern Asia,2020,Ratio of girls to boys in primary education,0.99
35,South-eastern Asia,2021,Ratio of girls to boys in primary education,0.98
35,South-eastern Asia,1995,Ratio of girls to boys in lower secondary education,0.93
35,South-eastern Asia,2005,Ratio of girls to boys in lower secondary education,1.02
35,South-eastern Asia,2010,Ratio of girls to boys in lower secondary education,1.04
35,South-eastern Asia,2015,Ratio of girls to boys in lower secondary education,1.03
35,South-eastern Asia,2020,Ratio of girls to boys in lower secondary education,1.02
35,South-eastern Asia,2021,Ratio of girls to boys in lower secondary education,1.02
35,South-eastern Asia,1995,Ratio of girls to boys in upper secondary education,0.94
35,South-eastern Asia,2005,Ratio of girls to boys in upper secondary education,1.00
35,South-eastern Asia,2010,Ratio of girls to boys in upper secondary education,1.00
35,South-eastern Asia,2015,Ratio of girls to boys in upper secondary education,0.97
35,South-eastern Asia,2020,Ratio of girls to boys in upper secondary education,1.04
35,South-eastern Asia,2021,Ratio of girls to boys in upper secondary education,1.05
34,Southern Asia,1995,Ratio of girls to boys in primary education,0.80
34,Southern Asia,2005,Ratio of girls to boys in primary education,0.94
34,Southern Asia,2010,Ratio of girls to boys in primary education,0.98
34,Southern Asia,2015,Ratio of girls to boys in primary education,1.05
34,Southern Asia,2020,Ratio of girls to boys in primary education,0.99
34,Southern Asia,2021,Ratio of girls to boys in primary education,0.98
34,Southern Asia,2022,Ratio of girls to boys in primary education,0.98
34,Southern Asia,1995,Ratio of girls to boys in lower secondary education,0.77
34,Southern Asia,2005,Ratio of girls to boys in lower secondary education,0.88
34,Southern Asia,2010,Ratio of girls to boys in lower secondary education,0.95
34,Southern Asia,2015,Ratio of girls to boys in lower secondary education,1.03
34,Southern Asia,2020,Ratio of girls to boys in lower secondary education,1.02
34,Southern Asia,2021,Ratio of girls to boys in lower secondary education,1.02
34,Southern Asia,2022,Ratio of girls to boys in lower secondary education,1.01
34,Southern Asia,1995,Ratio of girls to boys in upper secondary education,0.49
34,Southern Asia,2005,Ratio of girls to boys in upper secondary education,0.80
34,Southern Asia,2010,Ratio of girls to boys in upper secondary education,0.89
34,Southern Asia,2015,Ratio of girls to boys in upper secondary education,0.94
34,Southern Asia,2020,Ratio of girls to boys in upper secondary education,0.94
34,Southern Asia,2021,Ratio of girls to boys in upper secondary education,0.91
34,Southern Asia,2022,Ratio of girls to boys in upper secondary education,0.95
145,Western Asia,1995,Ratio of girls to boys in primary education,0.88
145,Western Asia,2005,Ratio of girls to boys in primary education,0.91
145,Western Asia,2010,Ratio of girls to boys in primary education,0.94
145,Western Asia,2015,Ratio of girls to boys in primary education,0.94
145,Western Asia,2020,Ratio of girls to boys in primary education,0.94
145,Western Asia,2021,Ratio of girls to boys in primary education,0.94
145,Western Asia,2022,Ratio of girls to boys in primary education,0.94
145,Western Asia,1995,Ratio of girls to boys in lower secondary education,0.80
145,Western Asia,2005,Ratio of girls to boys in lower secondary education,0.87
145,Western Asia,2010,Ratio of girls to boys in lower secondary education,0.92
145,Western Asia,2015,Ratio of girls to boys in lower secondary education,0.96
145,Western Asia,2020,Ratio of girls to boys in lower secondary education,0.96
145,Western Asia,2021,Ratio of girls to boys in lower secondary education,0.95
145,Western Asia,2022,Ratio of girls to boys in lower secondary education,0.95
145,Western Asia,1995,Ratio of girls to boys in upper secondary education,0.70
145,Western Asia,2005,Ratio of girls to boys in upper secondary education,0.84
145,Western Asia,2010,Ratio of girls to boys in upper secondary education,0.92
145,Western Asia,2015,Ratio of girls to boys in upper secondary education,0.96
145,Western Asia,2020,Ratio of girls to boys in upper secondary education,0.92
145,Western Asia,2021,Ratio of girls to boys in upper secondary education,0.94
145,Western Asia,2022,Ratio of girls to boys in upper secondary education,0.94
150,Europe,1995,Ratio of girls to boys in primary education,0.99
150,Europe,2005,Ratio of girls to boys in primary education,0.99
150,Europe,2010,Ratio of girls to boys in primary education,1.00
150,Europe,2015,Ratio of girls to boys in primary education,1.00
150,Europe,2020,Ratio of girls to boys in primary education,0.99
150,Europe,2021,Ratio of girls to boys in primary education,1.00
150,Europe,2022,Ratio of girls to boys in primary education,1.00
150,Europe,1995,Ratio of girls to boys in lower secondary education,1.00
150,Europe,2005,Ratio of girls to boys in lower secondary education,0.99
150,Europe,2010,Ratio of girls to boys in lower secondary education,0.99
150,Europe,2015,Ratio of girls to boys in lower secondary education,0.99
150,Europe,2020,Ratio of girls to boys in lower secondary education,0.99
150,Europe,2021,Ratio of girls to boys in lower secondary education,0.99
150,Europe,2022,Ratio of girls to boys in lower secondary education,0.99
150,Europe,1995,Ratio of girls to boys in upper secondary education,1.03
150,Europe,2005,Ratio of girls to boys in upper secondary education,1.01
150,Europe,2010,Ratio of girls to boys in upper secondary education,0.99
150,Europe,2015,Ratio of girls to boys in upper secondary education,1.00
150,Europe,2020,Ratio of girls to boys in upper secondary education,1.00
150,Europe,2021,Ratio of girls to boys in upper secondary education,1.00
150,Europe,2022,Ratio of girls to boys in upper secondary education,1.00
9,Oceania,1995,Ratio of girls to boys in primary education,0.99
9,Oceania,2005,Ratio of girls to boys in primary education,0.98
9,Oceania,2010,Ratio of girls to boys in primary education,0.98
9,Oceania,2015,Ratio of girls to boys in primary education,0.98
9,Oceania,2020,Ratio of girls to boys in primary education,0.98
9,Oceania,2021,Ratio of girls to boys in primary education,0.98
9,Oceania,2022,Ratio of girls to boys in primary education,0.98
9,Oceania,1995,Ratio of girls to boys in lower secondary education,1.02
9,Oceania,2005,Ratio of girls to boys in lower secondary education,0.98
9,Oceania,2010,Ratio of girls to boys in lower secondary education,0.95
9,Oceania,2015,Ratio of girls to boys in lower secondary education,0.91
9,Oceania,2020,Ratio of girls to boys in lower secondary education,0.95
9,Oceania,2021,Ratio of girls to boys in lower secondary education,0.96
9,Oceania,2022,Ratio of girls to boys in lower secondary education,0.95
9,Oceania,1995,Ratio of girls to boys in upper secondary education,1.00
9,Oceania,2005,Ratio of girls to boys in upper secondary education,0.96
9,Oceania,2010,Ratio of girls to boys in upper secondary education,0.93
9,Oceania,2015,Ratio of girls to boys in upper secondary education,0.90
9,Oceania,2020,Ratio of girls to boys in upper secondary education,1.00
9,Oceania,2021,Ratio of girls to boys in upper secondary education,0.99
9,Oceania,2022,Ratio of girls to boys in upper secondary education,0.99
53,Australia and New Zealand,1995,Ratio of girls to boys in primary education,1.00
53,Australia and New Zealand,2005,Ratio of girls to boys in primary education,1.00
53,Australia and New Zealand,2010,Ratio of girls to boys in primary education,1.00
53,Australia and New Zealand,2015,Ratio of girls to boys in primary education,1.00
53,Australia and New Zealand,2020,Ratio of girls to boys in primary education,1.00
53,Australia and New Zealand,2021,Ratio of girls to boys in primary education,1.00
53,Australia and New Zealand,2022,Ratio of girls to boys in primary education,1.00
53,Australia and New Zealand,1995,Ratio of girls to boys in lower secondary education,1.02
53,Australia and New Zealand,2005,Ratio of girls to boys in lower secondary education,1.00
53,Australia and New Zealand,2010,Ratio of girls to boys in lower secondary education,0.95
53,Australia and New Zealand,2015,Ratio of girls to boys in lower secondary education,0.90
53,Australia and New Zealand,2020,Ratio of girls to boys in lower secondary education,0.97
53,Australia and New Zealand,2021,Ratio of girls to boys in lower secondary education,0.98
53,Australia and New Zealand,2022,Ratio of girls to boys in lower secondary education,0.97
53,Australia and New Zealand,1995,Ratio of girls to boys in upper secondary education,0.97
53,Australia and New Zealand,2005,Ratio of girls to boys in upper secondary education,0.95
53,Australia and New Zealand,2010,Ratio of girls to boys in upper secondary education,0.92
53,Australia and New Zealand,2015,Ratio of girls to boys in upper secondary education,0.89
53,Australia and New Zealand,2020,Ratio of girls to boys in upper secondary education,1.00
53,Australia and New Zealand,2021,Ratio of girls to boys in upper secondary education,0.99
53,Australia and New Zealand,2022,Ratio of girls to boys in upper secondary education,0.99
4,Afghanistan,1995,Ratio of girls to boys in primary education,0.49
4,Afghanistan,2005,Ratio of girls to boys in primary education,0.58
4,Afghanistan,2010,Ratio of girls to boys in primary education,0.68
4,Afghanistan,2015,Ratio of girls to boys in primary education,0.68
4,Afghanistan,2005,Ratio of girls to boys in lower secondary education,0.34
4,Afghanistan,2010,Ratio of girls to boys in lower secondary education,0.53
4,Afghanistan,2015,Ratio of girls to boys in lower secondary education,0.59
4,Afghanistan,2005,Ratio of girls to boys in upper secondary education,0.27
4,Afghanistan,2010,Ratio of girls to boys in upper secondary education,0.41
4,Afghanistan,2015,Ratio of girls to boys in upper secondary education,0.51
8,Albania,1995,Ratio of girls to boys in primary education,0.97
8,Albania,2005,Ratio of girls to boys in primary education,0.97
8,Albania,2010,Ratio of girls to boys in primary education,0.99
8,Albania,2015,Ratio of girls to boys in primary education,0.97
8,Albania,2020,Ratio of girls to boys in primary education,0.95
8,Albania,2021,Ratio of girls to boys in primary education,0.94
8,Albania,2022,Ratio of girls to boys in primary education,0.94
8,Albania,2005,Ratio of girls to boys in lower secondary education,0.96
8,Albania,2010,Ratio of girls to boys in lower secondary education,0.98
8,Albania,2015,Ratio of girls to boys in lower secondary education,0.97
8,Albania,2020,Ratio of girls to boys in lower secondary education,0.94
8,Albania,2021,Ratio of girls to boys in lower secondary education,0.93
8,Albania,2022,Ratio of girls to boys in lower secondary education,0.93
8,Albania,2005,Ratio of girls to boys in upper secondary education,0.90
8,Albania,2010,Ratio of girls to boys in upper secondary education,0.88
8,Albania,2015,Ratio of girls to boys in upper secondary education,0.87
8,Albania,2020,Ratio of girls to boys in upper secondary education,0.92
8,Albania,2021,Ratio of girls to boys in upper secondary education,0.93
8,Albania,2022,Ratio of girls to boys in upper secondary education,0.90
12,Algeria,1995,Ratio of girls to boys in primary education,0.88
12,Algeria,2005,Ratio of girls to boys in primary education,0.94
12,Algeria,2010,Ratio of girls to boys in primary education,0.94
12,Algeria,2015,Ratio of girls to boys in primary education,0.96
12,Algeria,2020,Ratio of girls to boys in primary education,0.97
12,Algeria,2021,Ratio of girls to boys in primary education,0.97
12,Algeria,2022,Ratio of girls to boys in primary education,0.97
12,Algeria,1995,Ratio of girls to boys in lower secondary education,0.82
12,Algeria,2005,Ratio of girls to boys in lower secondary education,0.96
12,Algeria,2010,Ratio of girls to boys in lower secondary education,0.93
12,Algeria,1995,Ratio of girls to boys in upper secondary education,1.03
12,Algeria,2005,Ratio of girls to boys in upper secondary education,1.33
12,Algeria,2010,Ratio of girls to boys in upper secondary education,1.31
20,Andorra,2005,Ratio of girls to boys in primary education,0.98
20,Andorra,2010,Ratio of girls to boys in primary education,0.98
20,Andorra,2015,Ratio of girls to boys in primary education,0.98
20,Andorra,2020,Ratio of girls to boys in primary education,0.98
20,Andorra,2021,Ratio of girls to boys in primary education,0.98
20,Andorra,2022,Ratio of girls to boys in primary education,1.00
20,Andorra,2005,Ratio of girls to boys in lower secondary education,1.07
20,Andorra,2010,Ratio of girls to boys in lower secondary education,1.01
20,Andorra,2015,Ratio of girls to boys in lower secondary education,0.94
20,Andorra,2020,Ratio of girls to boys in lower secondary education,0.99
20,Andorra,2021,Ratio of girls to boys in lower secondary education,1.00
20,Andorra,2022,Ratio of girls to boys in lower secondary education,0.97
20,Andorra,2005,Ratio of girls to boys in upper secondary education,1.19
20,Andorra,2010,Ratio of girls to boys in upper secondary education,1.20
20,Andorra,2015,Ratio of girls to boys in upper secondary education,1.09
20,Andorra,2020,Ratio of girls to boys in upper secondary education,1.04
20,Andorra,2021,Ratio of girls to boys in upper secondary education,1.03
20,Andorra,2022,Ratio of girls to boys in upper secondary education,1.04
24,Angola,2010,Ratio of girls to boys in primary education,0.81
24,Angola,2015,Ratio of girls to boys in primary education,0.89
24,Angola,2010,Ratio of girls to boys in lower secondary education,0.76
24,Angola,2010,Ratio of girls to boys in upper secondary education,0.56
660,Anguilla,2005,Ratio of girls to boys in primary education,1.03
660,Anguilla,2010,Ratio of girls to boys in primary education,0.92
660,Anguilla,2015,Ratio of girls to boys in primary education,1.00
660,Anguilla,2022,Ratio of girls to boys in primary education,0.92
660,Anguilla,2005,Ratio of girls to boys in lower secondary education,1.01
660,Anguilla,2010,Ratio of girls to boys in lower secondary education,0.94
660,Anguilla,2015,Ratio of girls to boys in lower secondary education,1.00
660,Anguilla,2005,Ratio of girls to boys in upper secondary education,1.01
660,Anguilla,2010,Ratio of girls to boys in upper secondary education,1.14
28,Antigua and Barbuda,2010,Ratio of girls to boys in primary education,0.92
28,Antigua and Barbuda,2015,Ratio of girls to boys in primary education,0.97
28,Antigua and Barbuda,2010,Ratio of girls to boys in lower secondary education,0.90
28,Antigua and Barbuda,2015,Ratio of girls to boys in lower secondary education,0.97
28,Antigua and Barbuda,2010,Ratio of girls to boys in upper secondary education,1.33
28,Antigua and Barbuda,2015,Ratio of girls to boys in upper secondary education,1.13
32,Argentina,2005,Ratio of girls to boys in primary education,1.01
32,Argentina,2010,Ratio of girls to boys in primary education,1.00
32,Argentina,2015,Ratio of girls to boys in primary education,1.02
32,Argentina,2020,Ratio of girls to boys in primary education,1.02
32,Argentina,2021,Ratio of girls to boys in primary education,1.02
32,Argentina,2005,Ratio of girls to boys in lower secondary education,1.07
32,Argentina,2010,Ratio of girls to boys in lower secondary education,1.05
32,Argentina,2015,Ratio of girls to boys in lower secondary education,1.02
32,Argentina,2020,Ratio of girls to boys in lower secondary education,1.02
32,Argentina,2021,Ratio of girls to boys in lower secondary education,1.03
32,Argentina,2005,Ratio of girls to boys in upper secondary education,1.16
32,Argentina,2010,Ratio of girls to boys in upper secondary education,1.18
32,Argentina,2015,Ratio of girls to boys in upper secondary education,1.14
32,Argentina,2020,Ratio of girls to boys in upper secondary education,1.11
32,Argentina,2021,Ratio of girls to boys in upper secondary education,1.08
51,Armenia,1995,Ratio of girls to boys in primary education,1.00
51,Armenia,2005,Ratio of girls to boys in primary education,1.02
51,Armenia,2010,Ratio of girls to boys in primary education,1.00
51,Armenia,2015,Ratio of girls to boys in primary education,0.99
51,Armenia,2020,Ratio of girls to boys in primary education,0.99
51,Armenia,2021,Ratio of girls to boys in primary education,0.98
51,Armenia,2022,Ratio of girls to boys in primary education,0.99
51,Armenia,2005,Ratio of girls to boys in lower secondary education,0.96
51,Armenia,2010,Ratio of girls to boys in lower secondary education,0.98
51,Armenia,2020,Ratio of girls to boys in lower secondary education,0.99
51,Armenia,2021,Ratio of girls to boys in lower secondary education,0.99
51,Armenia,2022,Ratio of girls to boys in lower secondary education,0.99
51,Armenia,2010,Ratio of girls to boys in upper secondary education,0.97
51,Armenia,2015,Ratio of girls to boys in upper secondary education,1.04
51,Armenia,2020,Ratio of girls to boys in upper secondary education,1.03
51,Armenia,2021,Ratio of girls to boys in upper secondary education,1.00
51,Armenia,2022,Ratio of girls to boys in upper secondary education,1.02
533,Aruba,2005,Ratio of girls to boys in primary education,0.96
533,Aruba,2010,Ratio of girls to boys in primary education,0.99
533,Aruba,2015,Ratio of girls to boys in primary education,1.00
533,Aruba,2005,Ratio of girls to boys in lower secondary education,0.91
533,Aruba,2010,Ratio of girls to boys in lower secondary education,0.93
533,Aruba,2005,Ratio of girls to boys in upper secondary education,1.14
533,Aruba,2010,Ratio of girls to boys in upper secondary education,1.15
36,Australia,1995,Ratio of girls to boys in primary education,1.00
36,Australia,2005,Ratio of girls to boys in primary education,1.00
36,Australia,2010,Ratio of girls to boys in primary education,0.99
36,Australia,2015,Ratio of girls to boys in primary education,1.00
36,Australia,2020,Ratio of girls to boys in primary education,1.00
36,Australia,2021,Ratio of girls to boys in primary education,1.00
36,Australia,2022,Ratio of girls to boys in primary education,1.00
36,Australia,1995,Ratio of girls to boys in lower secondary education,1.02
36,Australia,2015,Ratio of girls to boys in lower secondary education,0.89
36,Australia,2020,Ratio of girls to boys in lower secondary education,0.97
36,Australia,2021,Ratio of girls to boys in lower secondary education,0.97
36,Australia,2022,Ratio of girls to boys in lower secondary education,0.97
36,Australia,1995,Ratio of girls to boys in upper secondary education,0.97
36,Australia,2015,Ratio of girls to boys in upper secondary education,0.85
36,Australia,2020,Ratio of girls to boys in upper secondary education,0.98
36,Australia,2021,Ratio of girls to boys in upper secondary education,0.97
36,Australia,2022,Ratio of girls to boys in upper secondary education,0.95
40,Austria,1995,Ratio of girls to boys in primary education,0.99
40,Austria,2005,Ratio of girls to boys in primary education,0.99
40,Austria,2010,Ratio of girls to boys in primary education,0.99
40,Austria,2015,Ratio of girls to boys in primary education,0.99
40,Austria,2020,Ratio of girls to boys in primary education,0.99
40,Austria,2021,Ratio of girls to boys in primary education,0.99
