"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Bangladesh","2011","Not applicable","Not applicable","Percent","45.16737"
"Bangladesh","2009","Not applicable","Not applicable","Percent","43.02697"
"Bangladesh","2008","Not applicable","Not applicable","Percent","50.15739"
"Bangladesh","2007","Not applicable","Not applicable","Percent","49.23132"
"Bangladesh","2006","Not applicable","Not applicable","Percent","48.83216"
"Bangladesh","2005","Not applicable","Not applicable","Percent","46.80781"
"Bangladesh","2004","Not applicable","Not applicable","Percent","53.25556"
"Bangladesh","2003","Not applicable","Not applicable","Percent","58.30703"
"Bangladesh","2002","Not applicable","Not applicable","Percent","58.47471"
"Bangladesh","2001","Not applicable","Not applicable","Percent","63.50581"
"Bangladesh","2000","Not applicable","Not applicable","Percent","62.70433"
"Bangladesh","1999","Not applicable","Not applicable","Percent","58.88408"
"Barbados","2011","Not applicable","Not applicable","Percent","0"
"Barbados","2010","Not applicable","Not applicable","Percent","0"
"Barbados","2009","Not applicable","Not applicable","Percent","0"
"Barbados","2001","Not applicable","Not applicable","Percent","0"
"Barbados","2000","Not applicable","Not applicable","Percent","0"
"Belarus","2014","Not applicable","Not applicable","Percent","10.30647"
"Belarus","2013","Not applicable","Not applicable","Percent","11.4681"
"Belarus","2012","Not applicable","Not applicable","Percent","12.66961"
"Belarus","2011","Not applicable","Not applicable","Percent","13.36779"
"Belarus","2010","Not applicable","Not applicable","Percent","13.21865"
"Belarus","2009","Not applicable","Not applicable","Percent","13.23557"
"Belarus","2008","Not applicable","Not applicable","Percent","13.25413"
"Belarus","2007","Not applicable","Not applicable","Percent","13.27952"
"Belarus","2006","Not applicable","Not applicable","Percent","13.56462"
"Belarus","2005","Not applicable","Not applicable","Percent","14.08342"
"Belarus","2004","Not applicable","Not applicable","Percent","14.9119"
"Belarus","2003","Not applicable","Not applicable","Percent","11.35966"
"Belarus","2002","Not applicable","Not applicable","Percent","10.49911"
"Belarus","2000","Not applicable","Not applicable","Percent","8.89208"
"Belarus","1999","Not applicable","Not applicable","Percent","10.34034"
"Belgium","2014","Not applicable","Not applicable","Percent","57.07467"
"Belgium","2013","Not applicable","Not applicable","Percent","57.58811"
"Belgium","2009","Not applicable","Not applicable","Percent","57.03814"
"Belgium","2008","Not applicable","Not applicable","Percent","56.50065"
"Belgium","2007","Not applicable","Not applicable","Percent","55.82252"
"Belgium","2006","Not applicable","Not applicable","Percent","55.36969"
"Belgium","2005","Not applicable","Not applicable","Percent","55.04856"
"Belgium","2004","Not applicable","Not applicable","Percent","55.38758"
"Belize","2013","Not applicable","Not applicable","Percent","96.15112"
"Belize","2012","Not applicable","Not applicable","Percent","96.1715"
"Belize","2010","Not applicable","Not applicable","Percent","96.81792"
"Benin","2013","Not applicable","Not applicable","Percent","21.99788"
"Benin","2012","Not applicable","Not applicable","Percent","21.64155"
"Benin","2011","Not applicable","Not applicable","Percent","22.66725"
"Benin","2010","Not applicable","Not applicable","Percent","24.1795"
"Benin","2009","Not applicable","Not applicable","Percent","24.8028"
"Benin","2008","Not applicable","Not applicable","Percent","25.81307"
"Benin","2007","Not applicable","Not applicable","Percent","20.39819"
"Benin","2006","Not applicable","Not applicable","Percent","16.26879"
"Bermuda","2014","Not applicable","Not applicable","Percent","0"
"Bermuda","2013","Not applicable","Not applicable","Percent","100"
"Bermuda","2012","Not applicable","Not applicable","Percent","100"
"Bermuda","2011","Not applicable","Not applicable","Percent","100"
"Bermuda","2010","Not applicable","Not applicable","Percent","100"
"Bermuda","2009","Not applicable","Not applicable","Percent","100"
"Bermuda","2008","Not applicable","Not applicable","Percent","100"
"Bermuda","2007","Not applicable","Not applicable","Percent","100"
"Bermuda","2006","Not applicable","Not applicable","Percent","100"
"Bhutan","2008","Not applicable","Not applicable","Percent","0"
"Bolivia","2007","Not applicable","Not applicable","Percent","19.52779"
"Bolivia","2000","Not applicable","Not applicable","Percent","21.32672"
"Bosnia and Herzegovina","2014","Not applicable","Not applicable","Percent","20.07859"
"Bosnia and Herzegovina","2013","Not applicable","Not applicable","Percent","20.66479"
"Bosnia and Herzegovina","2012","Not applicable","Not applicable","Percent","20.26279"
"Bosnia and Herzegovina","2011","Not applicable","Not applicable","Percent","18.02542"
"Bosnia and Herzegovina","2010","Not applicable","Not applicable","Percent","16.65541"
"Botswana","2014","Not applicable","Not applicable","Percent","42.62747"
"Botswana","2013","Not applicable","Not applicable","Percent","42.59541"
"Botswana","2011","Not applicable","Not applicable","Percent","35.24921"
"Botswana","2010","Not applicable","Not applicable","Percent","41.00458"
"Botswana","2009","Not applicable","Not applicable","Percent","45.43632"
"Botswana","2008","Not applicable","Not applicable","Percent","28.21806"
"Brazil","2012","Not applicable","Not applicable","Percent","71.42265"
"Brazil","2011","Not applicable","Not applicable","Percent","72.11011"
"Brazil","2010","Not applicable","Not applicable","Percent","72.71038"
"Brazil","2009","Not applicable","Not applicable","Percent","73.86308"
"Brazil","2008","Not applicable","Not applicable","Percent","71.8668"
"Brazil","2007","Not applicable","Not applicable","Percent","72.90929"
"Brazil","2005","Not applicable","Not applicable","Percent","71.80052"
"Brazil","2004","Not applicable","Not applicable","Percent","70.31373"
"Brazil","2003","Not applicable","Not applicable","Percent","69.32139"
"Brazil","2002","Not applicable","Not applicable","Percent","68.25875"
"Brazil","2001","Not applicable","Not applicable","Percent","67.36103"
"Brazil","2000","Not applicable","Not applicable","Percent","65.42098"
"Brazil","1999","Not applicable","Not applicable","Percent","63.05582"
"Brazil","1998","Not applicable","Not applicable","Percent","60.56696"
"British Virgin Islands","2009","Not applicable","Not applicable","Percent","0"
"British Virgin Islands","2004","Not applicable","Not applicable","Percent","0"
"British Virgin Islands","2002","Not applicable","Not applicable","Percent","0"
"Brunei Darussalam","2014","Not applicable","Not applicable","Percent","9.47574"
"Brunei Darussalam","2013","Not applicable","Not applicable","Percent","6.59316"
"Brunei Darussalam","2012","Not applicable","Not applicable","Percent","10.90451"
"Brunei Darussalam","2011","Not applicable","Not applicable","Percent","7.25928"
"Brunei Darussalam","2010","Not applicable","Not applicable","Percent","0.77909"
"Brunei Darussalam","2009","Not applicable","Not applicable","Percent","0.44212"
"Brunei Darussalam","2008","Not applicable","Not applicable","Percent","0.65989"
"Brunei Darussalam","2007","Not applicable","Not applicable","Percent","0.26495"
"Brunei Darussalam","2006","Not applicable","Not applicable","Percent","0.3141"
"Brunei Darussalam","2005","Not applicable","Not applicable","Percent","0"
"Brunei Darussalam","2004","Not applicable","Not applicable","Percent","0"
"Brunei Darussalam","2003","Not applicable","Not applicable","Percent","0"
"Brunei Darussalam","2002","Not applicable","Not applicable","Percent","0"
"Brunei Darussalam","2001","Not applicable","Not applicable","Percent","0"
"Brunei Darussalam","2000","Not applicable","Not applicable","Percent","0"
"Bulgaria","2014","Not applicable","Not applicable","Percent","16.36321"
"Bulgaria","2013","Not applicable","Not applicable","Percent","17.555"
"Bulgaria","2012","Not applicable","Not applicable","Percent","18.50173"
"Bulgaria","2011","Not applicable","Not applicable","Percent","20.10201"
"Bulgaria","2010","Not applicable","Not applicable","Percent","21.95753"
"Bulgaria","2009","Not applicable","Not applicable","Percent","21.28738"
"Bulgaria","2008","Not applicable","Not applicable","Percent","20.784"
"Bulgaria","2007","Not applicable","Not applicable","Percent","19.5928"
"Bulgaria","2006","Not applicable","Not applicable","Percent","18.54237"
"Bulgaria","2005","Not applicable","Not applicable","Percent","16.43444"
"Bulgaria","2004","Not applicable","Not applicable","Percent","14.35737"
"Bulgaria","2003","Not applicable","Not applicable","Percent","13.44132"
"Bulgaria","2002","Not applicable","Not applicable","Percent","12.55637"
"Bulgaria","2001","Not applicable","Not applicable","Percent","11.31106"
"Bulgaria","2000","Not applicable","Not applicable","Percent","10.49514"
"Bulgaria","1999","Not applicable","Not applicable","Percent","12.03138"
"Burkina Faso","2013","Not applicable","Not applicable","Percent","21.15084"
"Burkina Faso","2012","Not applicable","Not applicable","Percent","21.47502"
"Burkina Faso","2011","Not applicable","Not applicable","Percent","21.9581"
"Burkina Faso","2010","Not applicable","Not applicable","Percent","18.89536"
"Burkina Faso","2009","Not applicable","Not applicable","Percent","17.77376"
"Burkina Faso","2008","Not applicable","Not applicable","Percent","17.21678"
"Burkina Faso","2007","Not applicable","Not applicable","Percent","16.50976"
"Burkina Faso","2006","Not applicable","Not applicable","Percent","14.73484"
"Burkina Faso","2005","Not applicable","Not applicable","Percent","16.58793"
"Burundi","2013","Not applicable","Not applicable","Percent","60.85058"
"Burundi","2012","Not applicable","Not applicable","Percent","58.36915"
"Burundi","2011","Not applicable","Not applicable","Percent","59.01731"
"Burundi","2010","Not applicable","Not applicable","Percent","57.65827"
"Burundi","2009","Not applicable","Not applicable","Percent","52.96007"
"Burundi","2004","Not applicable","Not applicable","Percent","31.72673"
"Burundi","2002","Not applicable","Not applicable","Percent","32.86554"
"Cambodia","2011","Not applicable","Not applicable","Percent","59.9681"
"Cambodia","2005","Not applicable","Not applicable","Percent","55.83876"
"Cambodia","2004","Not applicable","Not applicable","Percent","43.31937"
"Cambodia","2003","Not applicable","Not applicable","Percent","39.3358"
"Cambodia","2002","Not applicable","Not applicable","Percent","76.25117"
"Cambodia","2001","Not applicable","Not applicable","Percent","71.68713"
"Cambodia","2000","Not applicable","Not applicable","Percent","67.78542"
"Cameroon","2011","Not applicable","Not applicable","Percent","14.88169"
"Cameroon","2010","Not applicable","Not applicable","Percent","13.86596"
"Cameroon","2009","Not applicable","Not applicable","Percent","13.29991"
"Cameroon","2008","Not applicable","Not applicable","Percent","13.58793"
"Cameroon","2007","Not applicable","Not applicable","Percent","12.40483"
"Cameroon","2005","Not applicable","Not applicable","Percent","8.54162"
"Cameroon","2004","Not applicable","Not applicable","Percent","8.59683"
"Cameroon","2003","Not applicable","Not applicable","Percent","8.87011"
"Cameroon","2002","Not applicable","Not applicable","Percent","8.51403"
"Cameroon","2001","Not applicable","Not applicable","Percent","7.82539"
"Cameroon","2000","Not applicable","Not applicable","Percent","9.76757"
"Cameroon","1999","Not applicable","Not applicable","Percent","9.5184"
"Canada","1999","Not applicable","Not applicable","Percent","0"
"Cape Verde","2014","Not applicable","Not applicable","Percent","57.09487"
"Cape Verde","2013","Not applicable","Not applicable","Percent","60.71319"
"Cape Verde","2012","Not applicable","Not applicable","Percent","62.38983"
"Cape Verde","2011","Not applicable","Not applicable","Percent","61.34761"
"Cape Verde","2010","Not applicable","Not applicable","Percent","60.07492"
"Cape Verde","2009","Not applicable","Not applicable","Percent","61.14589"
"Cape Verde","2008","Not applicable","Not applicable","Percent","55.99279"
"Cape Verde","2007","Not applicable","Not applicable","Percent","54.90641"
"Cape Verde","2005","Not applicable","Not applicable","Percent","52.07161"
"Cape Verde","2004","Not applicable","Not applicable","Percent","53.42556"
"Cape Verde","2003","Not applicable","Not applicable","Percent","52.64108"
"Cape Verde","2002","Not applicable","Not applicable","Percent","0"
"Cape Verde","2001","Not applicable","Not applicable","Percent","0"
"Cape Verde","2000","Not applicable","Not applicable","Percent","0"
"Cape Verde","1999","Not applicable","Not applicable","Percent","0"
"Central African Republic","2011","Not applicable","Not applicable","Percent","23.80164"
"Central African Republic","2009","Not applicable","Not applicable","Percent","8.45881"
"Central African Republic","2008","Not applicable","Not applicable","Percent","19.48696"
"Central African Republic","2006","Not applicable","Not applicable","Percent","0"
"Central African Republic","2004","Not applicable","Not applicable","Percent","0"
"Chad","2014","Not applicable","Not applicable","Percent","27.99849"
"Chad","2011","Not applicable","Not applicable","Percent","28.21471"
"Chad","2010","Not applicable","Not applicable","Percent","31.78943"
"Chad","2009","Not applicable","Not applicable","Percent","31.78876"
"Chad","2000","Not applicable","Not applicable","Percent","8.55787"
"Chile","2014","Not applicable","Not applicable","Percent","84.46842"
"Chile","2013","Not applicable","Not applicable","Percent","84.38038"
"Chile","2012","Not applicable","Not applicable","Percent","84.39532"
"Chile","2011","Not applicable","Not applicable","Percent","83.70706"
"Chile","2010","Not applicable","Not applicable","Percent","81.92252"
"Chile","2009","Not applicable","Not applicable","Percent","79.70586"
"Chile","2008","Not applicable","Not applicable","Percent","77.98582"
"Chile","2007","Not applicable","Not applicable","Percent","76.58966"
"Chile","2006","Not applicable","Not applicable","Percent","76.10891"
"Chile","2004","Not applicable","Not applicable","Percent","75.28903"
"Chile","2003","Not applicable","Not applicable","Percent","74.23463"
"Chile","2002","Not applicable","Not applicable","Percent","72.49396"
"Chile","2000","Not applicable","Not applicable","Percent","72.44044"
"Chile","1998","Not applicable","Not applicable","Percent","71.10955"
"China","2014","Not applicable","Not applicable","Percent","13.29752"
"China","2013","Not applicable","Not applicable","Percent","15.4873"
"Colombia","2014","Not applicable","Not applicable","Percent","47.9262"
"Colombia","2013","Not applicable","Not applicable","Percent","47.55275"
"Colombia","2012","Not applicable","Not applicable","Percent","46.59086"
"Colombia","2011","Not applicable","Not applicable","Percent","45.15249"
"Colombia","2010","Not applicable","Not applicable","Percent","44.61993"
"Colombia","2009","Not applicable","Not applicable","Percent","43.7697"
"Colombia","2008","Not applicable","Not applicable","Percent","44.67599"
"Colombia","2007","Not applicable","Not applicable","Percent","44.90105"
"Colombia","2006","Not applicable","Not applicable","Percent","48.69997"
"Colombia","2005","Not applicable","Not applicable","Percent","49.99992"
"Colombia","2004","Not applicable","Not applicable","Percent","55.04389"
"Colombia","2002","Not applicable","Not applicable","Percent","58.18064"
"Colombia","2001","Not applicable","Not applicable","Percent","62.33199"
"Colombia","2000","Not applicable","Not applicable","Percent","63.98711"
"Colombia","1999","Not applicable","Not applicable","Percent","66.46734"
"Comoros","2014","Not applicable","Not applicable","Percent","0"
"Comoros","2013","Not applicable","Not applicable","Percent","0"
"Comoros","2012","Not applicable","Not applicable","Percent","0"
"Comoros","2011","Not applicable","Not applicable","Percent","0"
"Comoros","2010","Not applicable","Not applicable","Percent","0"
"Comoros","2009","Not applicable","Not applicable","Percent","0"
"Comoros","2003","Not applicable","Not applicable","Percent","0"
"Congo","2013","Not applicable","Not applicable","Percent","35.57794"
"Congo","2012","Not applicable","Not applicable","Percent","32.92624"
"Congo","2011","Not applicable","Not applicable","Percent","35.44565"
"Congo","2009","Not applicable","Not applicable","Percent","30.15771"
"Congo","2003","Not applicable","Not applicable","Percent","8.3907"
"Congo","2002","Not applicable","Not applicable","Percent","8.39362"
"Congo","2001","Not applicable","Not applicable","Percent","3.7902"
"Congo","2000","Not applicable","Not applicable","Percent","0.3967"
"Congo","1999","Not applicable","Not applicable","Percent","0.39205"
"Cook Islands","2014","Not applicable","Not applicable","Percent","82.51001"
"Cook Islands","2012","Not applicable","Not applicable","Percent","59.6929"
"Costa Rica","2014","Not applicable","Not applicable","Percent","51.88903"
"Costa Rica","2013","Not applicable","Not applicable","Percent","51.39466"
"Costa Rica","2012","Not applicable","Not applicable","Percent","52.55962"
"Costa Rica","2011","Not applicable","Not applicable","Percent","50.75282"
"Côte d'Ivoire","2014","Not applicable","Not applicable","Percent","44.43752"
"Côte d'Ivoire","2013","Not applicable","Not applicable","Percent","48.53234"
"Côte d'Ivoire","2011","Not applicable","Not applicable","Percent","76.95374"
"Côte d'Ivoire","2010","Not applicable","Not applicable","Percent","37.80412"
"Côte d'Ivoire","2008","Not applicable","Not applicable","Percent","34.23792"
"Côte d'Ivoire","2007","Not applicable","Not applicable","Percent","36.29921"
"Côte d'Ivoire","1999","Not applicable","Not applicable","Percent","27.14597"
"Croatia","2014","Not applicable","Not applicable","Percent","7.54482"
"Croatia","2012","Not applicable","Not applicable","Percent","7.07933"
"Croatia","2011","Not applicable","Not applicable","Percent","6.72642"
"Croatia","2010","Not applicable","Not applicable","Percent","6.50771"
"Croatia","2009","Not applicable","Not applicable","Percent","6.90089"
"Croatia","2008","Not applicable","Not applicable","Percent","5.91033"
"Croatia","2007","Not applicable","Not applicable","Percent","5.05514"
"Croatia","2006","Not applicable","Not applicable","Percent","4.00085"
"Croatia","2005","Not applicable","Not applicable","Percent","3.2512"
"Croatia","2003","Not applicable","Not applicable","Percent","2.53364"
"Croatia","2002","Not applicable","Not applicable","Percent","1.65012"
"Croatia","2001","Not applicable","Not applicable","Percent","0.70367"
"Croatia","2000","Not applicable","Not applicable","Percent","0.96696"
"Croatia","1999","Not applicable","Not applicable","Percent","0.78007"
"Cuba","2014","Not applicable","Not applicable","Percent","0"
"Cuba","2013","Not applicable","Not applicable","Percent","0"
"Cuba","2012","Not applicable","Not applicable","Percent","0"
"Cuba","2011","Not applicable","Not applicable","Percent","0"
"Cuba","2010","Not applicable","Not applicable","Percent","0"
"Cuba","2009","Not applicable","Not applicable","Percent","0"
"Cuba","2008","Not applicable","Not applicable","Percent","0"
"Cuba","2007","Not applicable","Not applicable","Percent","0"
"Cuba","2006","Not applicable","Not applicable","Percent","0"
"Cuba","2005","Not applicable","Not applicable","Percent","0"
"Cuba","2004","Not applicable","Not applicable","Percent","0"
"Cuba","2003","Not applicable","Not applicable","Percent","0"
"Cuba","2002","Not applicable","Not applicable","Percent","0"
"Cuba","2001","Not applicable","Not applicable","Percent","0"
"Cuba","2000","Not applicable","Not applicable","Percent","0"
"Cuba","1999","Not applicable","Not applicable","Percent","0"
"Cyprus","2014","Not applicable","Not applicable","Percent","58.50211"
"Cyprus","2013","Not applicable","Not applicable","Percent","60.28781"
"Cyprus","2012","Not applicable","Not applicable","Percent","62.27496"
"Cyprus","2011","Not applicable","Not applicable","Percent","66.99359"
"Cyprus","2010","Not applicable","Not applicable","Percent","70.07725"
"Cyprus","2009","Not applicable","Not applicable","Percent","71.67753"
"Cyprus","2008","Not applicable","Not applicable","Percent","69.71348"
"Cyprus","2007","Not applicable","Not applicable","Percent","67.82292"
"Cyprus","2006","Not applicable","Not applicable","Percent","66.60514"
"Cyprus","2005","Not applicable","Not applicable","Percent","67.77567"
"Cyprus","2004","Not applicable","Not applicable","Percent","70.35829"
"Cyprus","2003","Not applicable","Not applicable","Percent","68.15346"
"Cyprus","2002","Not applicable","Not applicable","Percent","62.88504"
"Cyprus","2000","Not applicable","Not applicable","Percent","56.22239"
"Czech Republic","2014","Not applicable","Not applicable","Percent","12.27856"
"Czech Republic","2013","Not applicable","Not applicable","Percent","13.30336"
"Czech Republic","2012","Not applicable","Not applicable","Percent","14.14829"
"Czech Republic","2011","Not applicable","Not applicable","Percent","15.34905"
"Czech Republic","2010","Not applicable","Not applicable","Percent","15.23663"
"Czech Republic","2009","Not applicable","Not applicable","Percent","14.43359"
"Czech Republic","2008","Not applicable","Not applicable","Percent","13.52397"
"Czech Republic","2007","Not applicable","Not applicable","Percent","12.12326"
"Czech Republic","2005","Not applicable","Not applicable","Percent","8.9118"
"Czech Republic","2004","Not applicable","Not applicable","Percent","7.53"
"Czech Republic","2003","Not applicable","Not applicable","Percent","7.03238"
"Czech Republic","2001","Not applicable","Not applicable","Percent","4.60268"
"Czech Republic","2000","Not applicable","Not applicable","Percent","4.29689"
"Democratic People's Republic of Korea","2009","Not applicable","Not applicable","Percent","0"
"Democratic Republic of the Congo","2013","Not applicable","Not applicable","Percent","28.22527"
"Denmark","2014","Not applicable","Not applicable","Percent","2.28567"
"Denmark","2013","Not applicable","Not applicable","Percent","2.08829"
"Denmark","2012","Not applicable","Not applicable","Percent","2.1512"
"Denmark","2011","Not applicable","Not applicable","Percent","2.0627"
"Denmark","2010","Not applicable","Not applicable","Percent","1.76813"
"Denmark","2009","Not applicable","Not applicable","Percent","1.73762"
"Denmark","2008","Not applicable","Not applicable","Percent","1.81789"
"Denmark","2007","Not applicable","Not applicable","Percent","2.20247"
"Denmark","2006","Not applicable","Not applicable","Percent","1.90788"
"Denmark","2005","Not applicable","Not applicable","Percent","1.05574"
"Denmark","2004","Not applicable","Not applicable","Percent","1.10118"
"Denmark","2003","Not applicable","Not applicable","Percent","0.63297"
"Denmark","2002","Not applicable","Not applicable","Percent","0.47807"
"Denmark","2001","Not applicable","Not applicable","Percent","0.15519"
"Denmark","2000","Not applicable","Not applicable","Percent","0.15807"
"Denmark","1999","Not applicable","Not applicable","Percent","0.10475"
"Djibouti","2011","Not applicable","Not applicable","Percent","0"
"Djibouti","2009","Not applicable","Not applicable","Percent","0"
"Djibouti","2006","Not applicable","Not applicable","Percent","0"
"Djibouti","2005","Not applicable","Not applicable","Percent","0"
"Djibouti","2004","Not applicable","Not applicable","Percent","0"
"Djibouti","2003","Not applicable","Not applicable","Percent","0"
"Djibouti","2002","Not applicable","Not applicable","Percent","0"
