Region/Country/Area,Country/Area name,Year,Variables,Data values
40,Austria,2005,Ratio of girls to boys in primary education,0.99
40,Austria,2005,Ratio of girls to boys in lower secondary education,0.99
40,Austria,2005,Ratio of girls to boys in upper secondary education,0.92
53,Australia and New Zealand,2005,Students enrolled in primary education (thousands),"2,288"
53,Australia and New Zealand,2005,Gross enrollment ratio - Primary (male),103.1
53,Australia and New Zealand,2005,Gross enrollment ratio - Primary (female),102.6
53,Australia and New Zealand,2005,Students enrolled in lower secondary education (thousands),"1,579"
53,Australia and New Zealand,2005,Gross enrollment ratio - Lower secondary level (male),115.8
53,Australia and New Zealand,2005,Gross enrollment ratio - Lower secondary level (female),115.5
53,Australia and New Zealand,2005,Students enrolled in upper secondary education (thousands),"1,531"
53,Australia and New Zealand,2005,Gross enrollment ratio - Upper secondary level (male),214.2
53,Australia and New Zealand,2005,Gross enrollment ratio - Upper secondary level (female),202.9
53,Australia and New Zealand,2005,Ratio of girls to boys in primary education,1
53,Australia and New Zealand,2005,Ratio of girls to boys in lower secondary education,1
53,Australia and New Zealand,2005,Ratio of girls to boys in upper secondary education,0.95
56,Belgium,2005,Teachers at primary level,"64,278"
56,Belgium,2005,Teachers at lower secondary level,"42,469"
56,Belgium,2005,Students enrolled in primary education (thousands),739
56,Belgium,2005,Gross enrollment ratio - Primary (male),103.2
56,Belgium,2005,Gross enrollment ratio - Primary (female),103
56,Belgium,2005,Students enrolled in lower secondary education (thousands),431
56,Belgium,2005,Gross enrollment ratio - Lower secondary level (male),155.3
56,Belgium,2005,Gross enrollment ratio - Lower secondary level (female),178
56,Belgium,2005,Students enrolled in upper secondary education (thousands),770
56,Belgium,2005,Gross enrollment ratio - Upper secondary level (male),145.4
56,Belgium,2005,Gross enrollment ratio - Upper secondary level (female),160.4
56,Belgium,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.7
56,Belgium,2005,All staff compensation as % of total expenditure in public institutions (%),85.5
56,Belgium,2005,Capital expenditure as % of total expenditure in public institutions (%),2.8
56,Belgium,2005,Ratio of girls to boys in primary education,1
56,Belgium,2005,Ratio of girls to boys in lower secondary education,1.13
56,Belgium,2005,Ratio of girls to boys in upper secondary education,1.09
70,Bosnia and Herzegovina,2005,Teachers at upper secondary level,"11,184"
70,Bosnia and Herzegovina,2005,Students enrolled in upper secondary education (thousands),165
70,Bosnia and Herzegovina,2005,Gross enrollment ratio - Upper secondary level (male),65
70,Bosnia and Herzegovina,2005,Gross enrollment ratio - Upper secondary level (female),67.3
70,Bosnia and Herzegovina,2005,Ratio of girls to boys in upper secondary education,1.03
100,Bulgaria,2005,Teachers at primary level,"17,873"
100,Bulgaria,2005,Teachers at lower secondary level,"25,203"
100,Bulgaria,2005,Teachers at upper secondary level,"32,050"
100,Bulgaria,2005,Students enrolled in primary education (thousands),290
100,Bulgaria,2005,Gross enrollment ratio - Primary (male),111.5
100,Bulgaria,2005,Gross enrollment ratio - Primary (female),110.3
100,Bulgaria,2005,Students enrolled in lower secondary education (thousands),312
100,Bulgaria,2005,Gross enrollment ratio - Lower secondary level (male),130.6
100,Bulgaria,2005,Gross enrollment ratio - Lower secondary level (female),122.5
100,Bulgaria,2005,Students enrolled in upper secondary education (thousands),373
100,Bulgaria,2005,Gross enrollment ratio - Upper secondary level (male),74.7
100,Bulgaria,2005,Gross enrollment ratio - Upper secondary level (female),73.4
100,Bulgaria,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.7
100,Bulgaria,2005,All staff compensation as % of total expenditure in public institutions (%),63.2
100,Bulgaria,2005,Capital expenditure as % of total expenditure in public institutions (%),10.1
100,Bulgaria,2005,Ratio of girls to boys in primary education,0.99
100,Bulgaria,2005,Ratio of girls to boys in lower secondary education,0.94
100,Bulgaria,2005,Ratio of girls to boys in upper secondary education,0.98
112,Belarus,2005,Teachers at primary level,"23,671"
112,Belarus,2005,Teachers with minimum required qualifications at primary level,99.8
112,Belarus,2005,Students enrolled in primary education (thousands),380
112,Belarus,2005,Gross enrollment ratio - Primary (male),104
112,Belarus,2005,Gross enrollment ratio - Primary (female),98.1
112,Belarus,2005,Students enrolled in lower secondary education (thousands),706
112,Belarus,2005,Gross enrollment ratio - Lower secondary level (male),117.3
112,Belarus,2005,Gross enrollment ratio - Lower secondary level (female),110.8
112,Belarus,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.1
112,Belarus,2005,All staff compensation as % of total expenditure in public institutions (%),65.2
112,Belarus,2005,Capital expenditure as % of total expenditure in public institutions (%),4.8
112,Belarus,2005,Ratio of girls to boys in primary education,0.94
112,Belarus,2005,Ratio of girls to boys in lower secondary education,0.94
124,Canada,2005,Students enrolled in primary education (thousands),"2,321"
124,Canada,2005,Gross enrollment ratio - Primary (male),98.9
124,Canada,2005,Gross enrollment ratio - Primary (female),98.2
124,Canada,2005,Students enrolled in lower secondary education (thousands),844
124,Canada,2005,Gross enrollment ratio - Lower secondary level (male),98.9
124,Canada,2005,Gross enrollment ratio - Lower secondary level (female),96.7
124,Canada,2005,Students enrolled in upper secondary education (thousands),"1,758"
124,Canada,2005,Gross enrollment ratio - Upper secondary level (male),102.8
124,Canada,2005,Gross enrollment ratio - Upper secondary level (female),100.1
124,Canada,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.4
124,Canada,2005,All staff compensation as % of total expenditure in public institutions (%),70
124,Canada,2005,Capital expenditure as % of total expenditure in public institutions (%),4.6
124,Canada,2005,Ratio of girls to boys in primary education,0.99
124,Canada,2005,Ratio of girls to boys in lower secondary education,0.98
124,Canada,2005,Ratio of girls to boys in upper secondary education,0.97
191,Croatia,2005,Teachers at primary level,"11,198"
191,Croatia,2005,Teachers at lower secondary level,"17,547"
191,Croatia,2005,Teachers at upper secondary level,"21,925"
191,Croatia,2005,Students enrolled in primary education (thousands),196
191,Croatia,2005,Gross enrollment ratio - Primary (male),100.4
191,Croatia,2005,Gross enrollment ratio - Primary (female),99.9
191,Croatia,2005,Students enrolled in lower secondary education (thousands),208
191,Croatia,2005,Gross enrollment ratio - Lower secondary level (male),105
191,Croatia,2005,Gross enrollment ratio - Lower secondary level (female),107.4
191,Croatia,2005,Students enrolled in upper secondary education (thousands),192
191,Croatia,2005,Gross enrollment ratio - Upper secondary level (male),90.3
191,Croatia,2005,Gross enrollment ratio - Upper secondary level (female),94.6
191,Croatia,2005,Ratio of girls to boys in primary education,0.99
191,Croatia,2005,Ratio of girls to boys in lower secondary education,1.02
191,Croatia,2005,Ratio of girls to boys in upper secondary education,1.05
196,Cyprus,2005,Teachers at primary level,"3,455"
196,Cyprus,2005,Teachers at lower secondary level,"2,789"
196,Cyprus,2005,Teachers at upper secondary level,"2,905"
196,Cyprus,2005,Students enrolled in primary education (thousands),61
196,Cyprus,2005,Gross enrollment ratio - Primary (male),99.9
196,Cyprus,2005,Gross enrollment ratio - Primary (female),99.8
196,Cyprus,2005,Students enrolled in lower secondary education (thousands),32
196,Cyprus,2005,Gross enrollment ratio - Lower secondary level (male),94.4
196,Cyprus,2005,Gross enrollment ratio - Lower secondary level (female),95.1
196,Cyprus,2005,Students enrolled in upper secondary education (thousands),32
196,Cyprus,2005,Gross enrollment ratio - Upper secondary level (male),91.1
196,Cyprus,2005,Gross enrollment ratio - Upper secondary level (female),95.6
196,Cyprus,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8
196,Cyprus,2005,All staff compensation as % of total expenditure in public institutions (%),76.9
196,Cyprus,2005,Capital expenditure as % of total expenditure in public institutions (%),13.4
196,Cyprus,2005,Ratio of girls to boys in primary education,1
196,Cyprus,2005,Ratio of girls to boys in lower secondary education,1.01
196,Cyprus,2005,Ratio of girls to boys in upper secondary education,1.05
203,Czechia,2005,Teachers at primary level,"30,952"
203,Czechia,2005,Teachers at lower secondary level,"40,088"
203,Czechia,2005,Teachers at upper secondary level,"53,242"
203,Czechia,2005,Students enrolled in primary education (thousands),503
203,Czechia,2005,Gross enrollment ratio - Primary (male),107.5
203,Czechia,2005,Gross enrollment ratio - Primary (female),106
203,Czechia,2005,Students enrolled in lower secondary education (thousands),495
203,Czechia,2005,Gross enrollment ratio - Lower secondary level (male),98.7
203,Czechia,2005,Gross enrollment ratio - Lower secondary level (female),99.5
203,Czechia,2005,Students enrolled in upper secondary education (thousands),481
203,Czechia,2005,Gross enrollment ratio - Upper secondary level (male),92.1
203,Czechia,2005,Gross enrollment ratio - Upper secondary level (female),94.2
203,Czechia,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.4
203,Czechia,2005,All staff compensation as % of total expenditure in public institutions (%),56
203,Czechia,2005,Capital expenditure as % of total expenditure in public institutions (%),9.7
203,Czechia,2005,Ratio of girls to boys in primary education,0.99
203,Czechia,2005,Ratio of girls to boys in lower secondary education,1.01
203,Czechia,2005,Ratio of girls to boys in upper secondary education,1.02
208,Denmark,2005,Students enrolled in primary education (thousands),414
208,Denmark,2005,Gross enrollment ratio - Primary (male),98.2
208,Denmark,2005,Gross enrollment ratio - Primary (female),98.2
208,Denmark,2005,Students enrolled in lower secondary education (thousands),234
208,Denmark,2005,Gross enrollment ratio - Lower secondary level (male),116.6
208,Denmark,2005,Gross enrollment ratio - Lower secondary level (female),119.1
208,Denmark,2005,Students enrolled in upper secondary education (thousands),231
208,Denmark,2005,Gross enrollment ratio - Upper secondary level (male),123.9
208,Denmark,2005,Gross enrollment ratio - Upper secondary level (female),129.9
208,Denmark,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.7
208,Denmark,2005,All staff compensation as % of total expenditure in public institutions (%),74.1
208,Denmark,2005,Capital expenditure as % of total expenditure in public institutions (%),5.3
208,Denmark,2005,Ratio of girls to boys in primary education,1
208,Denmark,2005,Ratio of girls to boys in lower secondary education,1.02
208,Denmark,2005,Ratio of girls to boys in upper secondary education,1.05
233,Estonia,2005,Students enrolled in primary education (thousands),86
233,Estonia,2005,Gross enrollment ratio - Primary (male),105
233,Estonia,2005,Gross enrollment ratio - Primary (female),102.1
233,Estonia,2005,Students enrolled in lower secondary education (thousands),64
233,Estonia,2005,Gross enrollment ratio - Lower secondary level (male),112.6
233,Estonia,2005,Gross enrollment ratio - Lower secondary level (female),108.5
233,Estonia,2005,Students enrolled in upper secondary education (thousands),61
233,Estonia,2005,Gross enrollment ratio - Upper secondary level (male),93.1
233,Estonia,2005,Gross enrollment ratio - Upper secondary level (female),103.9
233,Estonia,2005,Ratio of girls to boys in primary education,0.97
233,Estonia,2005,Ratio of girls to boys in lower secondary education,0.96
233,Estonia,2005,Ratio of girls to boys in upper secondary education,1.1
246,Finland,2005,Teachers at primary level,"24,577"
246,Finland,2005,Teachers at lower secondary level,"20,861"
246,Finland,2005,Teachers at upper secondary level,"21,121"
246,Finland,2005,Students enrolled in primary education (thousands),382
246,Finland,2005,Gross enrollment ratio - Primary (male),100.1
246,Finland,2005,Gross enrollment ratio - Primary (female),99.4
246,Finland,2005,Students enrolled in lower secondary education (thousands),199
246,Finland,2005,Gross enrollment ratio - Lower secondary level (male),100.6
246,Finland,2005,Gross enrollment ratio - Lower secondary level (female),100.5
246,Finland,2005,Students enrolled in upper secondary education (thousands),232
246,Finland,2005,Gross enrollment ratio - Upper secondary level (male),117.6
246,Finland,2005,Gross enrollment ratio - Upper secondary level (female),127.8
246,Finland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.1
246,Finland,2005,All staff compensation as % of total expenditure in public institutions (%),60.9
246,Finland,2005,Capital expenditure as % of total expenditure in public institutions (%),7
246,Finland,2005,Ratio of girls to boys in primary education,0.99
246,Finland,2005,Ratio of girls to boys in lower secondary education,1
246,Finland,2005,Ratio of girls to boys in upper secondary education,1.08
250,France,2005,Teachers at primary level,"216,411"
250,France,2005,Teachers at lower secondary level,"253,032"
250,France,2005,Teachers at upper secondary level,"275,030"
250,France,2005,Students enrolled in primary education (thousands),"4,015"
250,France,2005,Gross enrollment ratio - Primary (male),105.1
250,France,2005,Gross enrollment ratio - Primary (female),104.1
250,France,2005,Students enrolled in lower secondary education (thousands),"3,352"
250,France,2005,Gross enrollment ratio - Lower secondary level (male),106.6
250,France,2005,Gross enrollment ratio - Lower secondary level (female),105.4
250,France,2005,Students enrolled in upper secondary education (thousands),"2,684"
250,France,2005,Gross enrollment ratio - Upper secondary level (male),106.5
250,France,2005,Gross enrollment ratio - Upper secondary level (female),108.9
250,France,2005,Ratio of girls to boys in primary education,0.99
250,France,2005,Ratio of girls to boys in lower secondary education,0.99
250,France,2005,Ratio of girls to boys in upper secondary education,1.02
268,Georgia,2005,Students enrolled in primary education (thousands),338
268,Georgia,2005,Gross enrollment ratio - Primary (male),104.1
268,Georgia,2005,Gross enrollment ratio - Primary (female),102.1
268,Georgia,2005,Students enrolled in lower secondary education (thousands),213
268,Georgia,2005,Gross enrollment ratio - Lower secondary level (male),103.4
268,Georgia,2005,Gross enrollment ratio - Lower secondary level (female),100.1
268,Georgia,2005,Students enrolled in upper secondary education (thousands),103
268,Georgia,2005,Gross enrollment ratio - Upper secondary level (male),74.7
268,Georgia,2005,Gross enrollment ratio - Upper secondary level (female),72.4
268,Georgia,2005,Ratio of girls to boys in primary education,0.98
268,Georgia,2005,Ratio of girls to boys in lower secondary education,0.97
268,Georgia,2005,Ratio of girls to boys in upper secondary education,0.97
276,Germany,2005,Teachers at primary level,"234,107"
276,Germany,2005,Teachers at lower secondary level,"418,898"
276,Germany,2005,Teachers at upper secondary level,"176,737"
276,Germany,2005,Students enrolled in primary education (thousands),"3,306"
276,Germany,2005,Gross enrollment ratio - Primary (male),103.5
276,Germany,2005,Gross enrollment ratio - Primary (female),103.4
276,Germany,2005,Students enrolled in lower secondary education (thousands),"5,431"
276,Germany,2005,Gross enrollment ratio - Lower secondary level (male),103.6
276,Germany,2005,Gross enrollment ratio - Lower secondary level (female),103.3
276,Germany,2005,Students enrolled in upper secondary education (thousands),"2,837"
276,Germany,2005,Gross enrollment ratio - Upper secondary level (male),100.2
276,Germany,2005,Gross enrollment ratio - Upper secondary level (female),95.2
276,Germany,2005,Ratio of girls to boys in primary education,1
276,Germany,2005,Ratio of girls to boys in lower secondary education,1
276,Germany,2005,Ratio of girls to boys in upper secondary education,0.95
308,Grenada,2005,Teachers at primary level,791
308,Grenada,2005,Teachers with minimum required qualifications at primary level,75.3
308,Grenada,2005,Teachers at lower secondary level,611
308,Grenada,2005,Teachers with minimum required qualifications at lower secondary level,33.4
308,Grenada,2005,Students enrolled in primary education (thousands),14
308,Grenada,2005,Gross enrollment ratio - Primary (male),99.1
308,Grenada,2005,Gross enrollment ratio - Primary (female),98.7
308,Grenada,2005,Students enrolled in lower secondary education (thousands),8
308,Grenada,2005,Gross enrollment ratio - Lower secondary level (male),109.1
308,Grenada,2005,Gross enrollment ratio - Lower secondary level (female),106.6
308,Grenada,2005,Students enrolled in upper secondary education (thousands),5
308,Grenada,2005,Gross enrollment ratio - Upper secondary level (male),82.9
308,Grenada,2005,Gross enrollment ratio - Upper secondary level (female),95.5
308,Grenada,2005,Ratio of girls to boys in primary education,1
308,Grenada,2005,Ratio of girls to boys in lower secondary education,0.98
308,Grenada,2005,Ratio of girls to boys in upper secondary education,1.13
344,"China, Hong Kong SAR",2005,Teachers at primary level,"24,591"
344,"China, Hong Kong SAR",2005,Teachers with minimum required qualifications at primary level,93.2
344,"China, Hong Kong SAR",2005,Teachers at lower secondary level,"14,496"
344,"China, Hong Kong SAR",2005,Students enrolled in primary education (thousands),451
344,"China, Hong Kong SAR",2005,Gross enrollment ratio - Primary (male),102
344,"China, Hong Kong SAR",2005,Gross enrollment ratio - Primary (female),99.4
344,"China, Hong Kong SAR",2005,Students enrolled in lower secondary education (thousands),257
344,"China, Hong Kong SAR",2005,Gross enrollment ratio - Lower secondary level (male),101.1
344,"China, Hong Kong SAR",2005,Gross enrollment ratio - Lower secondary level (female),100.2
344,"China, Hong Kong SAR",2005,Students enrolled in upper secondary education (thousands),241
344,"China, Hong Kong SAR",2005,Gross enrollment ratio - Upper secondary level (male),69.4
344,"China, Hong Kong SAR",2005,Gross enrollment ratio - Upper secondary level (female),70.4
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in primary education,0.97
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in lower secondary education,0.99
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in upper secondary education,1.01
348,Hungary,2005,Teachers at primary level,"41,230"
348,Hungary,2005,Teachers at lower secondary level,"49,533"
348,Hungary,2005,Teachers at upper secondary level,"47,055"
348,Hungary,2005,Students enrolled in primary education (thousands),431
348,Hungary,2005,Gross enrollment ratio - Primary (male),101.7
348,Hungary,2005,Gross enrollment ratio - Primary (female),100.2
348,Hungary,2005,Students enrolled in lower secondary education (thousands),489
348,Hungary,2005,Gross enrollment ratio - Lower secondary level (male),101.4
348,Hungary,2005,Gross enrollment ratio - Lower secondary level (female),99.8
348,Hungary,2005,Students enrolled in upper secondary education (thousands),472
348,Hungary,2005,Gross enrollment ratio - Upper secondary level (male),94.3
348,Hungary,2005,Gross enrollment ratio - Upper secondary level (female),94.2
348,Hungary,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21
348,Hungary,2005,All staff compensation as % of total expenditure in public institutions (%),71.6
348,Hungary,2005,Capital expenditure as % of total expenditure in public institutions (%),7.4
348,Hungary,2005,Ratio of girls to boys in primary education,0.98
348,Hungary,2005,Ratio of girls to boys in lower secondary education,0.98
348,Hungary,2005,Ratio of girls to boys in upper secondary education,1
352,Iceland,2005,Teachers at upper secondary level,"1,639"
352,Iceland,2005,Students enrolled in primary education (thousands),31
352,Iceland,2005,Gross enrollment ratio - Primary (male),100
352,Iceland,2005,Gross enrollment ratio - Primary (female),98.3
352,Iceland,2005,Students enrolled in lower secondary education (thousands),14
352,Iceland,2005,Gross enrollment ratio - Lower secondary level (male),99.3
352,Iceland,2005,Gross enrollment ratio - Lower secondary level (female),99.1
352,Iceland,2005,Students enrolled in upper secondary education (thousands),20
352,Iceland,2005,Gross enrollment ratio - Upper secondary level (male),114.9
352,Iceland,2005,Gross enrollment ratio - Upper secondary level (female),118.3
352,Iceland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.6
352,Iceland,2005,All staff compensation as % of total expenditure in public institutions (%),67.9
352,Iceland,2005,Capital expenditure as % of total expenditure in public institutions (%),8.5
352,Iceland,2005,Ratio of girls to boys in primary education,0.98
352,Iceland,2005,Ratio of girls to boys in lower secondary education,1
352,Iceland,2005,Ratio of girls to boys in upper secondary education,1.03
356,India,2005,Students enrolled in lower secondary education (thousands),"51,644"
356,India,2005,Gross enrollment ratio - Lower secondary level (male),79.4
356,India,2005,Gross enrollment ratio - Lower secondary level (female),69.1
356,India,2005,Students enrolled in upper secondary education (thousands),"37,818"
356,India,2005,Gross enrollment ratio - Upper secondary level (male),47.9
356,India,2005,Gross enrollment ratio - Upper secondary level (female),36.2
356,India,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9
356,India,2005,All staff compensation as % of total expenditure in public institutions (%),86.2
356,India,2005,Capital expenditure as % of total expenditure in public institutions (%),4.8
356,India,2005,Ratio of girls to boys in lower secondary education,0.87
356,India,2005,Ratio of girls to boys in upper secondary education,0.76
372,Ireland,2005,Teachers at primary level,"25,416"
372,Ireland,2005,Students enrolled in primary education (thousands),454
372,Ireland,2005,Gross enrollment ratio - Primary (male),103.3
372,Ireland,2005,Gross enrollment ratio - Primary (female),102.9
372,Ireland,2005,Students enrolled in lower secondary education (thousands),175
372,Ireland,2005,Gross enrollment ratio - Lower secondary level (male),100
372,Ireland,2005,Gross enrollment ratio - Lower secondary level (female),103.9
372,Ireland,2005,Students enrolled in upper secondary education (thousands),142
372,Ireland,2005,Gross enrollment ratio - Upper secondary level (male),113
372,Ireland,2005,Gross enrollment ratio - Upper secondary level (female),130.2
372,Ireland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.3
372,Ireland,2005,All staff compensation as % of total expenditure in public institutions (%),74.2
372,Ireland,2005,Capital expenditure as % of total expenditure in public institutions (%),8.4
372,Ireland,2005,Ratio of girls to boys in primary education,1
372,Ireland,2005,Ratio of girls to boys in lower secondary education,1.04
372,Ireland,2005,Ratio of girls to boys in upper secondary education,1.13
380,Italy,2005,Teachers at primary level,"264,061"
380,Italy,2005,Teachers at lower secondary level,"182,940"
380,Italy,2005,Teachers at upper secondary level,"244,706"
380,Italy,2005,Students enrolled in primary education (thousands),"2,771"
380,Italy,2005,Gross enrollment ratio - Primary (male),104.4
380,Italy,2005,Gross enrollment ratio - Primary (female),103.5
380,Italy,2005,Students enrolled in lower secondary education (thousands),"1,792"
380,Italy,2005,Gross enrollment ratio - Lower secondary level (male),107
380,Italy,2005,Gross enrollment ratio - Lower secondary level (female),103.8
380,Italy,2005,Students enrolled in upper secondary education (thousands),"2,715"
380,Italy,2005,Gross enrollment ratio - Upper secondary level (male),95.1
380,Italy,2005,Gross enrollment ratio - Upper secondary level (female),95.8
380,Italy,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
380,Italy,2005,All staff compensation as % of total expenditure in public institutions (%),71.9
380,Italy,2005,Capital expenditure as % of total expenditure in public institutions (%),7.2
380,Italy,2005,Ratio of girls to boys in primary education,0.99
380,Italy,2005,Ratio of girls to boys in lower secondary education,0.97
380,Italy,2005,Ratio of girls to boys in upper secondary education,1.01
392,Japan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.2
392,Japan,2005,All staff compensation as % of total expenditure in public institutions (%),70.8
392,Japan,2005,Capital expenditure as % of total expenditure in public institutions (%),9.1
410,Republic of Korea,2005,Teachers at primary level,"144,338"
410,Republic of Korea,2005,Teachers with minimum required qualifications at primary level,100
410,Republic of Korea,2005,Teachers at lower secondary level,"97,562"
410,Republic of Korea,2005,Teachers with minimum required qualifications at lower secondary level,100
410,Republic of Korea,2005,Teachers at upper secondary level,"112,114"
410,Republic of Korea,2005,Teachers with minimum required qualifications at upper secondary level,100
410,Republic of Korea,2005,Students enrolled in primary education (thousands),"4,032"
410,Republic of Korea,2005,Gross enrollment ratio - Primary (male),100.2
410,Republic of Korea,2005,Gross enrollment ratio - Primary (female),100.5
410,Republic of Korea,2005,Students enrolled in lower secondary education (thousands),"2,021"
410,Republic of Korea,2005,Gross enrollment ratio - Lower secondary level (male),97.5
410,Republic of Korea,2005,Gross enrollment ratio - Lower secondary level (female),98.4
410,Republic of Korea,2005,Students enrolled in upper secondary education (thousands),"1,775"
410,Republic of Korea,2005,Gross enrollment ratio - Upper secondary level (male),96.2
410,Republic of Korea,2005,Gross enrollment ratio - Upper secondary level (female),96.6
410,Republic of Korea,2005,Ratio of girls to boys in primary education,1
410,Republic of Korea,2005,Ratio of girls to boys in lower secondary education,1.01
410,Republic of Korea,2005,Ratio of girls to boys in upper secondary education,1
428,Latvia,2005,Teachers at primary level,"6,915"
428,Latvia,2005,Teachers at lower secondary level,"15,286"
428,Latvia,2005,Teachers at upper secondary level,"9,838"
