Region/Country/Area,Country/Area name,Year,Variables,"Ratio of girls to boys in primary, lower secondary and upper secondary education"
56,Belgium,2015,Ratio of girls to boys in primary education,1.0
56,Belgium,2020,Ratio of girls to boys in primary education,1.0
56,Belgium,2021,Ratio of girls to boys in primary education,1.0
56,Belgium,1995,Ratio of girls to boys in lower secondary education,1.12
56,Belgium,2005,Ratio of girls to boys in lower secondary education,1.13
56,Belgium,2010,Ratio of girls to boys in lower secondary education,1.03
56,Belgium,2015,Ratio of girls to boys in lower secondary education,1.06
56,Belgium,2020,Ratio of girls to boys in lower secondary education,1.04
56,Belgium,2021,Ratio of girls to boys in lower secondary education,1.03
56,Belgium,1995,Ratio of girls to boys in upper secondary education,1.04
56,Belgium,2005,Ratio of girls to boys in upper secondary education,1.09
56,Belgium,2010,Ratio of girls to boys in upper secondary education,1.16
56,Belgium,2015,Ratio of girls to boys in upper secondary education,1.15
56,Belgium,2020,Ratio of girls to boys in upper secondary education,1.15
56,Belgium,2021,Ratio of girls to boys in upper secondary education,1.13
70,Bosnia and Herzegovina,2010,Ratio of girls to boys in primary education,1.01
70,Bosnia and Herzegovina,2015,Ratio of girls to boys in primary education,0.99
70,Bosnia and Herzegovina,2020,Ratio of girls to boys in primary education,0.99
70,Bosnia and Herzegovina,2021,Ratio of girls to boys in primary education,1.0
70,Bosnia and Herzegovina,2022,Ratio of girls to boys in primary education,0.99
70,Bosnia and Herzegovina,2010,Ratio of girls to boys in lower secondary education,0.99
70,Bosnia and Herzegovina,2015,Ratio of girls to boys in lower secondary education,0.98
70,Bosnia and Herzegovina,2020,Ratio of girls to boys in lower secondary education,0.98
70,Bosnia and Herzegovina,2021,Ratio of girls to boys in lower secondary education,0.98
70,Bosnia and Herzegovina,2022,Ratio of girls to boys in lower secondary education,0.98
70,Bosnia and Herzegovina,2005,Ratio of girls to boys in upper secondary education,1.03
70,Bosnia and Herzegovina,2010,Ratio of girls to boys in upper secondary education,1.03
70,Bosnia and Herzegovina,2015,Ratio of girls to boys in upper secondary education,1.03
70,Bosnia and Herzegovina,2020,Ratio of girls to boys in upper secondary education,1.03
70,Bosnia and Herzegovina,2021,Ratio of girls to boys in upper secondary education,1.04
70,Bosnia and Herzegovina,2022,Ratio of girls to boys in upper secondary education,1.04
100,Bulgaria,1995,Ratio of girls to boys in primary education,0.96
100,Bulgaria,2005,Ratio of girls to boys in primary education,0.99
100,Bulgaria,2010,Ratio of girls to boys in primary education,1.0
100,Bulgaria,2015,Ratio of girls to boys in primary education,0.99
100,Bulgaria,2020,Ratio of girls to boys in primary education,1.0
100,Bulgaria,2021,Ratio of girls to boys in primary education,1.0
100,Bulgaria,1995,Ratio of girls to boys in lower secondary education,0.91
100,Bulgaria,2005,Ratio of girls to boys in lower secondary education,0.94
100,Bulgaria,2010,Ratio of girls to boys in lower secondary education,0.95
100,Bulgaria,2015,Ratio of girls to boys in lower secondary education,0.96
100,Bulgaria,2020,Ratio of girls to boys in lower secondary education,1.0
100,Bulgaria,2021,Ratio of girls to boys in lower secondary education,0.99
100,Bulgaria,1995,Ratio of girls to boys in upper secondary education,1.04
100,Bulgaria,2005,Ratio of girls to boys in upper secondary education,0.98
100,Bulgaria,2010,Ratio of girls to boys in upper secondary education,0.97
100,Bulgaria,2015,Ratio of girls to boys in upper secondary education,0.98
100,Bulgaria,2020,Ratio of girls to boys in upper secondary education,0.97
100,Bulgaria,2021,Ratio of girls to boys in upper secondary education,0.96
124,Canada,1995,Ratio of girls to boys in primary education,0.99
124,Canada,2005,Ratio of girls to boys in primary education,0.99
124,Canada,2010,Ratio of girls to boys in primary education,1.01
124,Canada,2015,Ratio of girls to boys in primary education,0.99
124,Canada,2020,Ratio of girls to boys in primary education,0.99
124,Canada,2021,Ratio of girls to boys in primary education,0.99
124,Canada,1995,Ratio of girls to boys in lower secondary education,0.99
124,Canada,2005,Ratio of girls to boys in lower secondary education,0.98
124,Canada,2010,Ratio of girls to boys in lower secondary education,0.99
124,Canada,2015,Ratio of girls to boys in lower secondary education,0.99
124,Canada,2020,Ratio of girls to boys in lower secondary education,1.0
124,Canada,2021,Ratio of girls to boys in lower secondary education,0.99
124,Canada,1995,Ratio of girls to boys in upper secondary education,1.01
124,Canada,2005,Ratio of girls to boys in upper secondary education,0.97
124,Canada,2010,Ratio of girls to boys in upper secondary education,0.97
124,Canada,2015,Ratio of girls to boys in upper secondary education,1.02
124,Canada,2020,Ratio of girls to boys in upper secondary education,1.01
124,Canada,2021,Ratio of girls to boys in upper secondary education,1.0
156,China,1995,Ratio of girls to boys in primary education,0.96
156,China,2010,Ratio of girls to boys in primary education,1.0
156,China,2015,Ratio of girls to boys in primary education,1.01
156,China,2020,Ratio of girls to boys in primary education,1.02
156,China,2021,Ratio of girls to boys in primary education,1.02
156,China,2022,Ratio of girls to boys in primary education,1.02
156,China,1995,Ratio of girls to boys in lower secondary education,0.87
156,China,2010,Ratio of girls to boys in lower secondary education,1.03
156,China,2010,Ratio of girls to boys in upper secondary education,1.0
156,China,2015,Ratio of girls to boys in upper secondary education,1.07
156,China,2020,Ratio of girls to boys in upper secondary education,1.04
156,China,2021,Ratio of girls to boys in upper secondary education,1.03
156,China,2022,Ratio of girls to boys in upper secondary education,1.03
344,"China, Hong Kong SAR",1995,Ratio of girls to boys in primary education,1.01
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in primary education,0.97
344,"China, Hong Kong SAR",2010,Ratio of girls to boys in primary education,0.99
344,"China, Hong Kong SAR",2015,Ratio of girls to boys in primary education,0.98
344,"China, Hong Kong SAR",2020,Ratio of girls to boys in primary education,0.98
344,"China, Hong Kong SAR",2021,Ratio of girls to boys in primary education,0.97
344,"China, Hong Kong SAR",2022,Ratio of girls to boys in primary education,0.98
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in lower secondary education,0.99
344,"China, Hong Kong SAR",2010,Ratio of girls to boys in lower secondary education,0.97
344,"China, Hong Kong SAR",2015,Ratio of girls to boys in lower secondary education,0.97
344,"China, Hong Kong SAR",2020,Ratio of girls to boys in lower secondary education,0.97
344,"China, Hong Kong SAR",2021,Ratio of girls to boys in lower secondary education,0.97
344,"China, Hong Kong SAR",2022,Ratio of girls to boys in lower secondary education,0.98
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in upper secondary education,1.01
344,"China, Hong Kong SAR",2010,Ratio of girls to boys in upper secondary education,1.02
344,"China, Hong Kong SAR",2015,Ratio of girls to boys in upper secondary education,0.96
344,"China, Hong Kong SAR",2020,Ratio of girls to boys in upper secondary education,0.93
344,"China, Hong Kong SAR",2021,Ratio of girls to boys in upper secondary education,0.93
344,"China, Hong Kong SAR",2022,Ratio of girls to boys in upper secondary education,0.97
446,"China, Macao SAR",2005,Ratio of girls to boys in primary education,0.96
446,"China, Macao SAR",2010,Ratio of girls to boys in primary education,0.97
446,"China, Macao SAR",2015,Ratio of girls to boys in primary education,1.04
446,"China, Macao SAR",2020,Ratio of girls to boys in primary education,1.02
446,"China, Macao SAR",2021,Ratio of girls to boys in primary education,1.02
446,"China, Macao SAR",2022,Ratio of girls to boys in primary education,1.05
446,"China, Macao SAR",2005,Ratio of girls to boys in lower secondary education,0.97
446,"China, Macao SAR",2010,Ratio of girls to boys in lower secondary education,0.96
446,"China, Macao SAR",2015,Ratio of girls to boys in lower secondary education,0.97
446,"China, Macao SAR",2020,Ratio of girls to boys in lower secondary education,1.01
446,"China, Macao SAR",2021,Ratio of girls to boys in lower secondary education,1.0
446,"China, Macao SAR",2022,Ratio of girls to boys in lower secondary education,0.94
446,"China, Macao SAR",2005,Ratio of girls to boys in upper secondary education,1.1
446,"China, Macao SAR",2010,Ratio of girls to boys in upper secondary education,1.06
446,"China, Macao SAR",2015,Ratio of girls to boys in upper secondary education,1.06
446,"China, Macao SAR",2020,Ratio of girls to boys in upper secondary education,1.05
446,"China, Macao SAR",2021,Ratio of girls to boys in upper secondary education,1.02
446,"China, Macao SAR",2022,Ratio of girls to boys in upper secondary education,1.04
191,Croatia,1995,Ratio of girls to boys in primary education,0.98
191,Croatia,2005,Ratio of girls to boys in primary education,0.99
191,Croatia,2010,Ratio of girls to boys in primary education,1.0
191,Croatia,2015,Ratio of girls to boys in primary education,1.01
191,Croatia,2020,Ratio of girls to boys in primary education,1.0
191,Croatia,2021,Ratio of girls to boys in primary education,1.0
191,Croatia,2005,Ratio of girls to boys in lower secondary education,1.02
191,Croatia,2010,Ratio of girls to boys in lower secondary education,1.03
191,Croatia,2015,Ratio of girls to boys in lower secondary education,1.04
191,Croatia,2020,Ratio of girls to boys in lower secondary education,1.06
191,Croatia,2021,Ratio of girls to boys in lower secondary education,1.05
191,Croatia,2005,Ratio of girls to boys in upper secondary education,1.05
191,Croatia,2010,Ratio of girls to boys in upper secondary education,1.11
191,Croatia,2015,Ratio of girls to boys in upper secondary education,1.05
191,Croatia,2020,Ratio of girls to boys in upper secondary education,1.05
191,Croatia,2021,Ratio of girls to boys in upper secondary education,1.06
196,Cyprus,2005,Ratio of girls to boys in primary education,1.0
196,Cyprus,2010,Ratio of girls to boys in primary education,1.0
196,Cyprus,2015,Ratio of girls to boys in primary education,1.0
196,Cyprus,2020,Ratio of girls to boys in primary education,0.99
196,Cyprus,2021,Ratio of girls to boys in primary education,1.0
196,Cyprus,2005,Ratio of girls to boys in lower secondary education,1.01
196,Cyprus,2010,Ratio of girls to boys in lower secondary education,1.0
196,Cyprus,2015,Ratio of girls to boys in lower secondary education,0.99
196,Cyprus,2020,Ratio of girls to boys in lower secondary education,0.98
196,Cyprus,2021,Ratio of girls to boys in lower secondary education,0.99
196,Cyprus,2005,Ratio of girls to boys in upper secondary education,1.05
196,Cyprus,2010,Ratio of girls to boys in upper secondary education,1.02
196,Cyprus,2015,Ratio of girls to boys in upper secondary education,0.99
196,Cyprus,2020,Ratio of girls to boys in upper secondary education,0.96
196,Cyprus,2021,Ratio of girls to boys in upper secondary education,0.97
203,Czechia,1995,Ratio of girls to boys in primary education,1.0
203,Czechia,2005,Ratio of girls to boys in primary education,0.99
203,Czechia,2010,Ratio of girls to boys in primary education,1.0
203,Czechia,2015,Ratio of girls to boys in primary education,1.0
203,Czechia,2020,Ratio of girls to boys in primary education,1.0
203,Czechia,2021,Ratio of girls to boys in primary education,1.0
203,Czechia,1995,Ratio of girls to boys in lower secondary education,1.0
203,Czechia,2005,Ratio of girls to boys in lower secondary education,1.01
203,Czechia,2010,Ratio of girls to boys in lower secondary education,1.0
203,Czechia,2015,Ratio of girls to boys in lower secondary education,1.0
203,Czechia,2020,Ratio of girls to boys in lower secondary education,1.0
203,Czechia,2021,Ratio of girls to boys in lower secondary education,1.0
203,Czechia,1995,Ratio of girls to boys in upper secondary education,1.05
203,Czechia,2005,Ratio of girls to boys in upper secondary education,1.02
203,Czechia,2010,Ratio of girls to boys in upper secondary education,1.02
203,Czechia,2015,Ratio of girls to boys in upper secondary education,1.02
203,Czechia,2020,Ratio of girls to boys in upper secondary education,1.02
203,Czechia,2021,Ratio of girls to boys in upper secondary education,1.02
208,Denmark,1995,Ratio of girls to boys in primary education,1.01
208,Denmark,2005,Ratio of girls to boys in primary education,1.0
208,Denmark,2010,Ratio of girls to boys in primary education,1.0
208,Denmark,2015,Ratio of girls to boys in primary education,0.99
208,Denmark,2020,Ratio of girls to boys in primary education,0.99
208,Denmark,2021,Ratio of girls to boys in primary education,0.99
208,Denmark,2022,Ratio of girls to boys in primary education,0.99
208,Denmark,1995,Ratio of girls to boys in lower secondary education,1.0
208,Denmark,2005,Ratio of girls to boys in lower secondary education,1.02
208,Denmark,2010,Ratio of girls to boys in lower secondary education,1.02
208,Denmark,2015,Ratio of girls to boys in lower secondary education,1.0
208,Denmark,2020,Ratio of girls to boys in lower secondary education,0.99
208,Denmark,2021,Ratio of girls to boys in lower secondary education,0.99
208,Denmark,2022,Ratio of girls to boys in lower secondary education,1.0
208,Denmark,1995,Ratio of girls to boys in upper secondary education,1.04
208,Denmark,2005,Ratio of girls to boys in upper secondary education,1.05
208,Denmark,2010,Ratio of girls to boys in upper secondary education,1.0
208,Denmark,2015,Ratio of girls to boys in upper secondary education,1.06
208,Denmark,2020,Ratio of girls to boys in upper secondary education,1.0
208,Denmark,2021,Ratio of girls to boys in upper secondary education,0.99
208,Denmark,2022,Ratio of girls to boys in upper secondary education,0.98
233,Estonia,1995,Ratio of girls to boys in primary education,0.98
233,Estonia,2005,Ratio of girls to boys in primary education,0.97
233,Estonia,2010,Ratio of girls to boys in primary education,0.99
233,Estonia,2015,Ratio of girls to boys in primary education,1.0
233,Estonia,2020,Ratio of girls to boys in primary education,0.99
233,Estonia,2021,Ratio of girls to boys in primary education,1.0
233,Estonia,2022,Ratio of girls to boys in primary education,1.0
233,Estonia,2005,Ratio of girls to boys in lower secondary education,0.96
233,Estonia,2010,Ratio of girls to boys in lower secondary education,0.95
233,Estonia,2015,Ratio of girls to boys in lower secondary education,0.98
233,Estonia,2020,Ratio of girls to boys in lower secondary education,0.99
233,Estonia,2021,Ratio of girls to boys in lower secondary education,0.99
233,Estonia,2022,Ratio of girls to boys in lower secondary education,0.99
233,Estonia,2005,Ratio of girls to boys in upper secondary education,1.1
233,Estonia,2010,Ratio of girls to boys in upper secondary education,1.04
233,Estonia,2015,Ratio of girls to boys in upper secondary education,1.03
233,Estonia,2020,Ratio of girls to boys in upper secondary education,1.09
233,Estonia,2021,Ratio of girls to boys in upper secondary education,1.08
233,Estonia,2022,Ratio of girls to boys in upper secondary education,1.08
246,Finland,1995,Ratio of girls to boys in primary education,1.0
246,Finland,2005,Ratio of girls to boys in primary education,0.99
246,Finland,2010,Ratio of girls to boys in primary education,0.99
246,Finland,2015,Ratio of girls to boys in primary education,0.99
246,Finland,2020,Ratio of girls to boys in primary education,1.0
246,Finland,2021,Ratio of girls to boys in primary education,1.0
246,Finland,2022,Ratio of girls to boys in primary education,1.0
246,Finland,1995,Ratio of girls to boys in lower secondary education,1.02
246,Finland,2005,Ratio of girls to boys in lower secondary education,1.0
246,Finland,2010,Ratio of girls to boys in lower secondary education,1.0
246,Finland,2015,Ratio of girls to boys in lower secondary education,1.0
246,Finland,2020,Ratio of girls to boys in lower secondary education,0.99
246,Finland,2021,Ratio of girls to boys in lower secondary education,0.99
246,Finland,2022,Ratio of girls to boys in lower secondary education,0.99
246,Finland,1995,Ratio of girls to boys in upper secondary education,1.21
246,Finland,2005,Ratio of girls to boys in upper secondary education,1.08
246,Finland,2010,Ratio of girls to boys in upper secondary education,1.09
246,Finland,2015,Ratio of girls to boys in upper secondary education,1.13
246,Finland,2020,Ratio of girls to boys in upper secondary education,1.14
246,Finland,2021,Ratio of girls to boys in upper secondary education,1.16
246,Finland,2022,Ratio of girls to boys in upper secondary education,1.16
250,France,1995,Ratio of girls to boys in primary education,0.98
250,France,2005,Ratio of girls to boys in primary education,0.99
250,France,2010,Ratio of girls to boys in primary education,0.99
250,France,2015,Ratio of girls to boys in primary education,0.99
250,France,2020,Ratio of girls to boys in primary education,0.99
250,France,2021,Ratio of girls to boys in primary education,0.99
250,France,2022,Ratio of girls to boys in primary education,1.0
250,France,1995,Ratio of girls to boys in lower secondary education,0.99
250,France,2005,Ratio of girls to boys in lower secondary education,0.99
250,France,2010,Ratio of girls to boys in lower secondary education,1.0
250,France,2015,Ratio of girls to boys in lower secondary education,1.0
250,France,2020,Ratio of girls to boys in lower secondary education,1.0
250,France,2021,Ratio of girls to boys in lower secondary education,1.0
250,France,2022,Ratio of girls to boys in lower secondary education,1.0
250,France,1995,Ratio of girls to boys in upper secondary education,0.99
250,France,2005,Ratio of girls to boys in upper secondary education,1.02
250,France,2010,Ratio of girls to boys in upper secondary education,1.03
250,France,2015,Ratio of girls to boys in upper secondary education,1.03
250,France,2020,Ratio of girls to boys in upper secondary education,1.01
250,France,2021,Ratio of girls to boys in upper secondary education,1.0
250,France,2022,Ratio of girls to boys in upper secondary education,1.01
268,Georgia,1995,Ratio of girls to boys in primary education,0.94
268,Georgia,2005,Ratio of girls to boys in primary education,0.98
268,Georgia,2010,Ratio of girls to boys in primary education,0.97
268,Georgia,2015,Ratio of girls to boys in primary education,0.97
268,Georgia,2020,Ratio of girls to boys in primary education,0.98
268,Georgia,2021,Ratio of girls to boys in primary education,0.99
268,Georgia,2022,Ratio of girls to boys in primary education,1.0
268,Georgia,2005,Ratio of girls to boys in lower secondary education,0.97
268,Georgia,2010,Ratio of girls to boys in lower secondary education,0.97
268,Georgia,2015,Ratio of girls to boys in lower secondary education,0.96
268,Georgia,2020,Ratio of girls to boys in lower secondary education,0.98
268,Georgia,2021,Ratio of girls to boys in lower secondary education,0.97
268,Georgia,2022,Ratio of girls to boys in lower secondary education,0.97
268,Georgia,2005,Ratio of girls to boys in upper secondary education,0.97
268,Georgia,2015,Ratio of girls to boys in upper secondary education,1.01
268,Georgia,2020,Ratio of girls to boys in upper secondary education,0.97
268,Georgia,2021,Ratio of girls to boys in upper secondary education,0.97
268,Georgia,2022,Ratio of girls to boys in upper secondary education,0.96
276,Germany,1995,Ratio of girls to boys in primary education,0.99
276,Germany,2005,Ratio of girls to boys in primary education,1.0
276,Germany,2010,Ratio of girls to boys in primary education,1.0
276,Germany,2015,Ratio of girls to boys in primary education,1.0
276,Germany,2020,Ratio of girls to boys in primary education,1.0
276,Germany,2021,Ratio of girls to boys in primary education,1.0
276,Germany,1995,Ratio of girls to boys in lower secondary education,1.01
276,Germany,2005,Ratio of girls to boys in lower secondary education,1.0
276,Germany,2010,Ratio of girls to boys in lower secondary education,0.99
276,Germany,2015,Ratio of girls to boys in lower secondary education,0.98
276,Germany,2020,Ratio of girls to boys in lower secondary education,0.98
276,Germany,2021,Ratio of girls to boys in lower secondary education,0.98
276,Germany,1995,Ratio of girls to boys in upper secondary education,0.9
276,Germany,2005,Ratio of girls to boys in upper secondary education,0.95
276,Germany,2010,Ratio of girls to boys in upper secondary education,0.89
276,Germany,2015,Ratio of girls to boys in upper secondary education,0.9
276,Germany,2020,Ratio of girls to boys in upper secondary education,0.86
276,Germany,2021,Ratio of girls to boys in upper secondary education,0.87
292,Gibraltar,2020,Ratio of girls to boys in primary education,1.08
292,Gibraltar,2021,Ratio of girls to boys in primary education,1.05
292,Gibraltar,2022,Ratio of girls to boys in primary education,1.03
292,Gibraltar,2020,Ratio of girls to boys in lower secondary education,0.99
292,Gibraltar,2021,Ratio of girls to boys in lower secondary education,0.92
292,Gibraltar,2022,Ratio of girls to boys in lower secondary education,0.96
292,Gibraltar,2020,Ratio of girls to boys in upper secondary education,0.89
292,Gibraltar,2021,Ratio of girls to boys in upper secondary education,0.95
292,Gibraltar,2022,Ratio of girls to boys in upper secondary education,0.86
308,Grenada,1995,Ratio of girls to boys in primary education,0.92
308,Grenada,2005,Ratio of girls to boys in primary education,1.0
308,Grenada,2010,Ratio of girls to boys in primary education,0.96
308,Grenada,2015,Ratio of girls to boys in primary education,0.95
308,Grenada,2021,Ratio of girls to boys in primary education,0.93
308,Grenada,2005,Ratio of girls to boys in lower secondary education,0.98
308,Grenada,2010,Ratio of girls to boys in lower secondary education,0.96
308,Grenada,2015,Ratio of girls to boys in lower secondary education,0.91
308,Grenada,2005,Ratio of girls to boys in upper secondary education,1.13
308,Grenada,2010,Ratio of girls to boys in upper secondary education,1.22
308,Grenada,2015,Ratio of girls to boys in upper secondary education,1.11
308,Grenada,2021,Ratio of girls to boys in upper secondary education,1.03
348,Hungary,1995,Ratio of girls to boys in primary education,0.98
348,Hungary,2005,Ratio of girls to boys in primary education,0.98
348,Hungary,2010,Ratio of girls to boys in primary education,0.99
348,Hungary,2015,Ratio of girls to boys in primary education,1.0
348,Hungary,2020,Ratio of girls to boys in primary education,0.98
348,Hungary,2021,Ratio of girls to boys in primary education,0.99
348,Hungary,1995,Ratio of girls to boys in lower secondary education,0.98
348,Hungary,2005,Ratio of girls to boys in lower secondary education,0.98
348,Hungary,2010,Ratio of girls to boys in lower secondary education,0.97
348,Hungary,2015,Ratio of girls to boys in lower secondary education,0.99
348,Hungary,2020,Ratio of girls to boys in lower secondary education,1.0
348,Hungary,2021,Ratio of girls to boys in lower secondary education,0.99
348,Hungary,1995,Ratio of girls to boys in upper secondary education,1.08
348,Hungary,2005,Ratio of girls to boys in upper secondary education,1.0
348,Hungary,2010,Ratio of girls to boys in upper secondary education,1.0
