"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Belgium","2005","Not applicable","Not applicable","Percent","21.81796"
"Belgium","2004","Not applicable","Not applicable","Percent","21.73363"
"Belize","2013","Not applicable","Not applicable","Percent","14.28358"
"Belize","2004","Not applicable","Not applicable","Percent","0.94326"
"Belize","2000","Not applicable","Not applicable","Percent","4.95416"
"Benin","2014","Not applicable","Not applicable","Percent","20.72076"
"Benin","2013","Not applicable","Not applicable","Percent","21.8883"
"Benin","2012","Not applicable","Not applicable","Percent","26.46914"
"Benin","2010","Not applicable","Not applicable","Percent","17.05442"
"Benin","2009","Not applicable","Not applicable","Percent","16.97559"
"Benin","2008","Not applicable","Not applicable","Percent","17.14955"
"Benin","2007","Not applicable","Not applicable","Percent","20.04584"
"Benin","2006","Not applicable","Not applicable","Percent","18.74875"
"Benin","2005","Not applicable","Not applicable","Percent","20.4326"
"Benin","2004","Not applicable","Not applicable","Percent","21.22314"
"Benin","2003","Not applicable","Not applicable","Percent","19.35025"
"Benin","2002","Not applicable","Not applicable","Percent","19.81198"
"Benin","2001","Not applicable","Not applicable","Percent","19.03048"
"Benin","2000","Not applicable","Not applicable","Percent","19.64202"
"Bermuda","2010","Not applicable","Not applicable","Percent","13.72393"
"Bermuda","1998","Not applicable","Not applicable","Percent","2.51999"
"Bhutan","2011","Not applicable","Not applicable","Percent","13.70907"
"Bhutan","2010","Not applicable","Not applicable","Percent","15.55068"
"Bhutan","2009","Not applicable","Not applicable","Percent","13.28623"
"Bhutan","2008","Not applicable","Not applicable","Percent","18.80891"
"Bhutan","2005","Not applicable","Not applicable","Percent","15.41066"
"Bolivia","2014","Not applicable","Not applicable","Percent","25.23856"
"Bolivia","2011","Not applicable","Not applicable","Percent","27.79134"
"Bolivia","2010","Not applicable","Not applicable","Percent","29.4645"
"Bolivia","2009","Not applicable","Not applicable","Percent","29.47916"
"Bolivia","2008","Not applicable","Not applicable","Percent","29.51776"
"Bolivia","2003","Not applicable","Not applicable","Percent","22.61116"
"Bolivia","2002","Not applicable","Not applicable","Percent","25.92142"
"Bolivia","2001","Not applicable","Not applicable","Percent","29.5534"
"Bolivia","2000","Not applicable","Not applicable","Percent","29.44013"
"Bolivia","1999","Not applicable","Not applicable","Percent","28.22709"
"Bolivia","1998","Not applicable","Not applicable","Percent","30.64741"
"Botswana","2009","Not applicable","Not applicable","Percent","43.48882"
"Botswana","2007","Not applicable","Not applicable","Percent","32.3494"
"Botswana","2005","Not applicable","Not applicable","Percent","31.60333"
"Brazil","2012","Not applicable","Not applicable","Percent","16.3103"
"Brazil","2011","Not applicable","Not applicable","Percent","16.52337"
"Brazil","2010","Not applicable","Not applicable","Percent","16.28089"
"Brazil","2009","Not applicable","Not applicable","Percent","15.7134"
"Brazil","2008","Not applicable","Not applicable","Percent","16.13403"
"Brazil","2007","Not applicable","Not applicable","Percent","16.5351"
"Brazil","2006","Not applicable","Not applicable","Percent","16.72657"
"Brazil","2005","Not applicable","Not applicable","Percent","19.26993"
"Brazil","2004","Not applicable","Not applicable","Percent","19.48679"
"Brazil","2000","Not applicable","Not applicable","Percent","22.64161"
"Brazil","1999","Not applicable","Not applicable","Percent","21.56286"
"Brazil","1998","Not applicable","Not applicable","Percent","22.04362"
"British Virgin Islands","2007","Not applicable","Not applicable","Percent","35.61906"
"British Virgin Islands","2006","Not applicable","Not applicable","Percent","36.60852"
"British Virgin Islands","2005","Not applicable","Not applicable","Percent","32.37939"
"British Virgin Islands","2001","Not applicable","Not applicable","Percent","9.72606"
"Brunei Darussalam","2010","Not applicable","Not applicable","Percent","24.23464"
"Bulgaria","2012","Not applicable","Not applicable","Percent","17.4287"
"Bulgaria","2011","Not applicable","Not applicable","Percent","16.53594"
"Bulgaria","2010","Not applicable","Not applicable","Percent","14.52542"
"Bulgaria","2009","Not applicable","Not applicable","Percent","19.26674"
"Bulgaria","2008","Not applicable","Not applicable","Percent","19.11878"
"Bulgaria","2007","Not applicable","Not applicable","Percent","15.34128"
"Bulgaria","2006","Not applicable","Not applicable","Percent","16.37246"
"Bulgaria","2005","Not applicable","Not applicable","Percent","16.49143"
"Bulgaria","2004","Not applicable","Not applicable","Percent","19.78908"
"Bulgaria","2003","Not applicable","Not applicable","Percent","19.18319"
"Bulgaria","2002","Not applicable","Not applicable","Percent","14.26313"
"Bulgaria","2001","Not applicable","Not applicable","Percent","15.88211"
"Bulgaria","1998","Not applicable","Not applicable","Percent","12.57739"
"Burkina Faso","2014","Not applicable","Not applicable","Percent","13.04378"
"Burkina Faso","2013","Not applicable","Not applicable","Percent","17.35843"
"Burkina Faso","2012","Not applicable","Not applicable","Percent","17.40157"
"Burkina Faso","2011","Not applicable","Not applicable","Percent","16.09694"
"Burkina Faso","2010","Not applicable","Not applicable","Percent","19.89529"
"Burkina Faso","2006","Not applicable","Not applicable","Percent","10.99306"
"Burkina Faso","2005","Not applicable","Not applicable","Percent","9.1802"
"Burundi","2012","Not applicable","Not applicable","Percent","20.85911"
"Burundi","2011","Not applicable","Not applicable","Percent","17.67525"
"Burundi","2010","Not applicable","Not applicable","Percent","18.75304"
"Burundi","2009","Not applicable","Not applicable","Percent","20.01718"
"Burundi","2008","Not applicable","Not applicable","Percent","23.22108"
"Burundi","2005","Not applicable","Not applicable","Percent","14.91187"
"Burundi","2002","Not applicable","Not applicable","Percent","26.15205"
"Burundi","2001","Not applicable","Not applicable","Percent","26.19397"
"Burundi","1999","Not applicable","Not applicable","Percent","24.35219"
"Cambodia","2001","Not applicable","Not applicable","Percent","5.19546"
"Cambodia","1998","Not applicable","Not applicable","Percent","6.83685"
"Cameroon","2013","Not applicable","Not applicable","Percent","7.95952"
"Cameroon","2012","Not applicable","Not applicable","Percent","6.84271"
"Cameroon","2011","Not applicable","Not applicable","Percent","14.61446"
"Cameroon","2010","Not applicable","Not applicable","Percent","7.69638"
"Cameroon","2009","Not applicable","Not applicable","Percent","7.40409"
"Cameroon","2008","Not applicable","Not applicable","Percent","8.18115"
"Cameroon","2007","Not applicable","Not applicable","Percent","7.92017"
"Cameroon","2006","Not applicable","Not applicable","Percent","10.84132"
"Cameroon","2005","Not applicable","Not applicable","Percent","12.23991"
"Cameroon","2004","Not applicable","Not applicable","Percent","10.90683"
"Canada","2011","Not applicable","Not applicable","Percent","35.61311"
"Canada","2010","Not applicable","Not applicable","Percent","35.70869"
"Canada","2009","Not applicable","Not applicable","Percent","36.17652"
"Canada","2008","Not applicable","Not applicable","Percent","34.22898"
"Canada","2007","Not applicable","Not applicable","Percent","37.357"
"Canada","1998","Not applicable","Not applicable","Percent","30.5923"
"Cape Verde","2011","Not applicable","Not applicable","Percent","15.18756"
"Cape Verde","2009","Not applicable","Not applicable","Percent","12.05821"
"Cape Verde","2008","Not applicable","Not applicable","Percent","11.94907"
"Cape Verde","2006","Not applicable","Not applicable","Percent","4.05132"
"Cape Verde","2002","Not applicable","Not applicable","Percent","3.97471"
"Central African Republic","2010","Not applicable","Not applicable","Percent","20.88364"
"Central African Republic","2009","Not applicable","Not applicable","Percent","24.07721"
"Central African Republic","2008","Not applicable","Not applicable","Percent","17.38781"
"Central African Republic","2007","Not applicable","Not applicable","Percent","21.236"
"Central African Republic","2006","Not applicable","Not applicable","Percent","22.85472"
"Chad","2011","Not applicable","Not applicable","Percent","15.79768"
"Chad","2010","Not applicable","Not applicable","Percent","18.40101"
"Chad","2009","Not applicable","Not applicable","Percent","16.05224"
"Chad","2005","Not applicable","Not applicable","Percent","22.85552"
"Chad","2004","Not applicable","Not applicable","Percent","26.86807"
"Chile","2012","Not applicable","Not applicable","Percent","21.66355"
"Chile","2011","Not applicable","Not applicable","Percent","22.79553"
"Chile","2010","Not applicable","Not applicable","Percent","23.66714"
"Chile","2007","Not applicable","Not applicable","Percent","16.33191"
"Chile","2006","Not applicable","Not applicable","Percent","15.63655"
"Chile","2005","Not applicable","Not applicable","Percent","14.65327"
"Chile","2004","Not applicable","Not applicable","Percent","16.37351"
"Chile","2003","Not applicable","Not applicable","Percent","11.08585"
"Chile","2002","Not applicable","Not applicable","Percent","11.98064"
"Chile","2000","Not applicable","Not applicable","Percent","12.8993"
"China","1999","Not applicable","Not applicable","Percent","20.98007"
"Colombia","2014","Not applicable","Not applicable","Percent","21.25994"
"Colombia","2012","Not applicable","Not applicable","Percent","21.97269"
"Colombia","2011","Not applicable","Not applicable","Percent","20.60527"
"Colombia","2009","Not applicable","Not applicable","Percent","19.59373"
"Colombia","2008","Not applicable","Not applicable","Percent","12.42475"
"Colombia","2006","Not applicable","Not applicable","Percent","14.45639"
"Colombia","2005","Not applicable","Not applicable","Percent","13.49767"
"Colombia","2004","Not applicable","Not applicable","Percent","12.91475"
"Congo","2005","Not applicable","Not applicable","Percent","25.91239"
"Congo","2002","Not applicable","Not applicable","Percent","26.50764"
"Cook Islands","2011","Not applicable","Not applicable","Percent","0"
"Cook Islands","2000","Not applicable","Not applicable","Percent","0"
"Cook Islands","1999","Not applicable","Not applicable","Percent","0"
"Costa Rica","2004","Not applicable","Not applicable","Percent","0"
"Costa Rica","2001","Not applicable","Not applicable","Percent","19.63274"
"Costa Rica","2000","Not applicable","Not applicable","Percent","19.51139"
"Costa Rica","1999","Not applicable","Not applicable","Percent","17.3539"
"Côte d'Ivoire","2014","Not applicable","Not applicable","Percent","21.09511"
"Côte d'Ivoire","2007","Not applicable","Not applicable","Percent","21.17347"
"Côte d'Ivoire","2006","Not applicable","Not applicable","Percent","20.49861"
"Côte d'Ivoire","2005","Not applicable","Not applicable","Percent","20.17045"
"Côte d'Ivoire","2004","Not applicable","Not applicable","Percent","18.69436"
"Côte d'Ivoire","2003","Not applicable","Not applicable","Percent","18.50746"
"Côte d'Ivoire","2002","Not applicable","Not applicable","Percent","17.46988"
"Côte d'Ivoire","2001","Not applicable","Not applicable","Percent","18.8"
"Côte d'Ivoire","2000","Not applicable","Not applicable","Percent","20.7"
"Côte d'Ivoire","1999","Not applicable","Not applicable","Percent","20.09168"
"Côte d'Ivoire","1998","Not applicable","Not applicable","Percent","21.61371"
"Croatia","2011","Not applicable","Not applicable","Percent","22.52779"
"Croatia","2010","Not applicable","Not applicable","Percent","16.56123"
"Croatia","2009","Not applicable","Not applicable","Percent","15.75133"
"Croatia","2008","Not applicable","Not applicable","Percent","22.45287"
"Croatia","2007","Not applicable","Not applicable","Percent","18.94995"
"Croatia","2004","Not applicable","Not applicable","Percent","17.99286"
"Croatia","2003","Not applicable","Not applicable","Percent","18.65128"
"Croatia","2002","Not applicable","Not applicable","Percent","19.31584"
"Cuba","2007","Not applicable","Not applicable","Percent","25.11862"
"Cuba","2006","Not applicable","Not applicable","Percent","22.62438"
"Cuba","2005","Not applicable","Not applicable","Percent","21.78826"
"Cuba","2004","Not applicable","Not applicable","Percent","20.63145"
"Cuba","2002","Not applicable","Not applicable","Percent","18.03309"
"Cuba","2001","Not applicable","Not applicable","Percent","16.2804"
"Cuba","2000","Not applicable","Not applicable","Percent","16.35565"
"Cyprus","2011","Not applicable","Not applicable","Percent","20.83462"
"Cyprus","2010","Not applicable","Not applicable","Percent","20.21903"
"Cyprus","2008","Not applicable","Not applicable","Percent","24.77889"
"Cyprus","2007","Not applicable","Not applicable","Percent","23.95781"
"Cyprus","2006","Not applicable","Not applicable","Percent","23.78728"
"Cyprus","2005","Not applicable","Not applicable","Percent","23.65394"
"Cyprus","2004","Not applicable","Not applicable","Percent","22.01157"
"Cyprus","2003","Not applicable","Not applicable","Percent","21.52512"
"Cyprus","2002","Not applicable","Not applicable","Percent","11.95335"
"Cyprus","2001","Not applicable","Not applicable","Percent","11.46705"
"Cyprus","1999","Not applicable","Not applicable","Percent","9.56447"
"Czech Republic","2012","Not applicable","Not applicable","Percent","22.54111"
"Czech Republic","2011","Not applicable","Not applicable","Percent","22.64117"
"Czech Republic","2010","Not applicable","Not applicable","Percent","22.48536"
"Czech Republic","2009","Not applicable","Not applicable","Percent","22.9568"
"Czech Republic","2008","Not applicable","Not applicable","Percent","22.71962"
"Czech Republic","2007","Not applicable","Not applicable","Percent","22.66413"
"Czech Republic","2006","Not applicable","Not applicable","Percent","25.98505"
"Czech Republic","2005","Not applicable","Not applicable","Percent","19.20518"
"Czech Republic","2004","Not applicable","Not applicable","Percent","20.46398"
"Czech Republic","2003","Not applicable","Not applicable","Percent","19.42038"
"Czech Republic","2002","Not applicable","Not applicable","Percent","19.50031"
"Czech Republic","2001","Not applicable","Not applicable","Percent","18.57844"
"Czech Republic","2000","Not applicable","Not applicable","Percent","18.37551"
"Czech Republic","1999","Not applicable","Not applicable","Percent","18.17266"
"Czech Republic","1998","Not applicable","Not applicable","Percent","18.15624"
"Democratic Republic of the Congo","2013","Not applicable","Not applicable","Percent","26.36965"
"Democratic Republic of the Congo","2010","Not applicable","Not applicable","Percent","25.10981"
"Denmark","2011","Not applicable","Not applicable","Percent","28.84276"
"Denmark","2010","Not applicable","Not applicable","Percent","28.5538"
"Denmark","2009","Not applicable","Not applicable","Percent","28.20351"
"Denmark","2008","Not applicable","Not applicable","Percent","28.66347"
"Denmark","2007","Not applicable","Not applicable","Percent","29.70894"
"Denmark","2006","Not applicable","Not applicable","Percent","29.03089"
"Denmark","2005","Not applicable","Not applicable","Percent","29.32458"
"Denmark","2004","Not applicable","Not applicable","Percent","30.20504"
"Denmark","2003","Not applicable","Not applicable","Percent","30.48355"
"Denmark","2002","Not applicable","Not applicable","Percent","32.79927"
"Denmark","2001","Not applicable","Not applicable","Percent","32.61924"
"Denmark","1998","Not applicable","Not applicable","Percent","24.88343"
"Dominica","1998","Not applicable","Not applicable","Percent","0"
"Ecuador","2012","Not applicable","Not applicable","Percent","24.52242"
"Ecuador","2011","Not applicable","Not applicable","Percent","24.03059"
"Ecuador","2010","Not applicable","Not applicable","Percent","24.8102"
"El Salvador","2011","Not applicable","Not applicable","Percent","8.6287"
"El Salvador","2010","Not applicable","Not applicable","Percent","13.16075"
"El Salvador","2009","Not applicable","Not applicable","Percent","11.34721"
"El Salvador","2007","Not applicable","Not applicable","Percent","10.94807"
"El Salvador","2006","Not applicable","Not applicable","Percent","8.28624"
"El Salvador","2005","Not applicable","Not applicable","Percent","11.23815"
"El Salvador","2003","Not applicable","Not applicable","Percent","7.76861"
"El Salvador","2002","Not applicable","Not applicable","Percent","7.57211"
"El Salvador","2000","Not applicable","Not applicable","Percent","6.75507"
"El Salvador","1998","Not applicable","Not applicable","Percent","8.92089"
"Eritrea","2004","Not applicable","Not applicable","Percent","31.19211"
"Estonia","2012","Not applicable","Not applicable","Percent","22.70886"
"Estonia","2011","Not applicable","Not applicable","Percent","25.11199"
"Estonia","2010","Not applicable","Not applicable","Percent","22.79828"
"Estonia","2009","Not applicable","Not applicable","Percent","21.34681"
"Estonia","2008","Not applicable","Not applicable","Percent","21.1302"
"Estonia","2007","Not applicable","Not applicable","Percent","21.30089"
"Estonia","2005","Not applicable","Not applicable","Percent","20.18561"
"Estonia","2004","Not applicable","Not applicable","Percent","17.56177"
"Estonia","2003","Not applicable","Not applicable","Percent","19.96323"
"Estonia","2002","Not applicable","Not applicable","Percent","20.89005"
"Estonia","1998","Not applicable","Not applicable","Percent","17.38927"
"Ethiopia","2013","Not applicable","Not applicable","Percent","32.04979"
"Ethiopia","2012","Not applicable","Not applicable","Percent","34.33897"
"Ethiopia","2011","Not applicable","Not applicable","Percent","29.7567"
"Ethiopia","2010","Not applicable","Not applicable","Percent","28.63387"
"Ethiopia","2009","Not applicable","Not applicable","Percent","25.72622"
"Fiji","2011","Not applicable","Not applicable","Percent","13.1036"
"Fiji","2004","Not applicable","Not applicable","Percent","16.3059"
"Finland","2013","Not applicable","Not applicable","Percent","28.81955"
"Finland","2012","Not applicable","Not applicable","Percent","29.32241"
"Finland","2011","Not applicable","Not applicable","Percent","33.04736"
"Finland","2010","Not applicable","Not applicable","Percent","33.00667"
"Finland","2009","Not applicable","Not applicable","Percent","32.40939"
"Finland","2008","Not applicable","Not applicable","Percent","32.02465"
"Finland","2007","Not applicable","Not applicable","Percent","32.56686"
"Finland","2006","Not applicable","Not applicable","Percent","32.74972"
"Finland","2005","Not applicable","Not applicable","Percent","32.83222"
"Finland","2004","Not applicable","Not applicable","Percent","33.39259"
"Finland","2002","Not applicable","Not applicable","Percent","33.59615"
"Finland","2001","Not applicable","Not applicable","Percent","33.53518"
"Finland","2000","Not applicable","Not applicable","Percent","34.3713"
"Finland","1999","Not applicable","Not applicable","Percent","34.08359"
"France","2012","Not applicable","Not applicable","Percent","22.77348"
"France","2011","Not applicable","Not applicable","Percent","23.2681"
"France","2010","Not applicable","Not applicable","Percent","23.03183"
"France","2009","Not applicable","Not applicable","Percent","23.27493"
"France","2008","Not applicable","Not applicable","Percent","22.71835"
"France","2007","Not applicable","Not applicable","Percent","22.51262"
"France","2006","Not applicable","Not applicable","Percent","21.04781"
"France","2005","Not applicable","Not applicable","Percent","20.77693"
"France","2004","Not applicable","Not applicable","Percent","20.69631"
"France","2003","Not applicable","Not applicable","Percent","19.94369"
"France","2002","Not applicable","Not applicable","Percent","17.24528"
"France","2001","Not applicable","Not applicable","Percent","17.15695"
"France","1999","Not applicable","Not applicable","Percent","17.04445"
"Gabon","1998","Not applicable","Not applicable","Percent","9.97087"
"Gambia","2013","Not applicable","Not applicable","Percent","10.05536"
"Gambia","2012","Not applicable","Not applicable","Percent","10.78685"
"Gambia","2011","Not applicable","Not applicable","Percent","10.10335"
"Gambia","2010","Not applicable","Not applicable","Percent","14.83357"
"Gambia","2009","Not applicable","Not applicable","Percent","13.94212"
"Gambia","2008","Not applicable","Not applicable","Percent","15.00374"
"Georgia","2011","Not applicable","Not applicable","Percent","0.57925"
"Germany","2012","Not applicable","Not applicable","Percent","25.28818"
"Germany","2011","Not applicable","Not applicable","Percent","26.39185"
"Germany","2010","Not applicable","Not applicable","Percent","25.66129"
"Germany","2009","Not applicable","Not applicable","Percent","24.96233"
"Germany","2008","Not applicable","Not applicable","Percent","25.15101"
"Germany","2007","Not applicable","Not applicable","Percent","24.22576"
"Germany","2006","Not applicable","Not applicable","Percent","24.04668"
"Ghana","2013","Not applicable","Not applicable","Percent","20.17055"
"Ghana","2012","Not applicable","Not applicable","Percent","19.09059"
"Ghana","2011","Not applicable","Not applicable","Percent","11.57779"
"Ghana","2010","Not applicable","Not applicable","Percent","22.87949"
"Ghana","2009","Not applicable","Not applicable","Percent","21.11762"
"Ghana","2008","Not applicable","Not applicable","Percent","23.10763"
"Ghana","2007","Not applicable","Not applicable","Percent","23.9689"
"Ghana","2006","Not applicable","Not applicable","Percent","21.03487"
"Ghana","2005","Not applicable","Not applicable","Percent","21.09374"
"Ghana","2004","Not applicable","Not applicable","Percent","19.61691"
"Ghana","2001","Not applicable","Not applicable","Percent","14.17872"
"Greece","2005","Not applicable","Not applicable","Percent","30.70616"
"Greece","2004","Not applicable","Not applicable","Percent","29.54665"
"Greece","2002","Not applicable","Not applicable","Percent","25.50445"
"Greece","2001","Not applicable","Not applicable","Percent","23.55476"
"Grenada","2003","Not applicable","Not applicable","Percent","11.07781"
"Guatemala","2013","Not applicable","Not applicable","Percent","11.68664"
"Guatemala","2012","Not applicable","Not applicable","Percent","12.82056"
"Guatemala","2011","Not applicable","Not applicable","Percent","12.76431"
"Guatemala","2010","Not applicable","Not applicable","Percent","11.35228"
"Guatemala","2008","Not applicable","Not applicable","Percent","11.65038"
"Guatemala","2007","Not applicable","Not applicable","Percent","11.29245"
"Guatemala","2006","Not applicable","Not applicable","Percent","12.95395"
"Guinea","2013","Not applicable","Not applicable","Percent","34.24098"
"Guinea","2012","Not applicable","Not applicable","Percent","34.24385"
"Guinea","2011","Not applicable","Not applicable","Percent","43.10726"
"Guinea","2010","Not applicable","Not applicable","Percent","30.86761"
"Guinea","2009","Not applicable","Not applicable","Percent","33.38862"
"Guinea-Bissau","2013","Not applicable","Not applicable","Percent","7.54357"
"Guinea-Bissau","2012","Not applicable","Not applicable","Percent","6.63779"
"Guinea-Bissau","2011","Not applicable","Not applicable","Percent","5.6603"
"Guinea-Bissau","2010","Not applicable","Not applicable","Percent","4.85379"
"Guyana","2012","Not applicable","Not applicable","Percent","5.00106"
"Guyana","2011","Not applicable","Not applicable","Percent","3.76023"
"Guyana","2010","Not applicable","Not applicable","Percent","5.35931"
"Guyana","2009","Not applicable","Not applicable","Percent","5.01167"
"Guyana","2007","Not applicable","Not applicable","Percent","4.77846"
"Guyana","2006","Not applicable","Not applicable","Percent","4.2941"
"Guyana","2004","Not applicable","Not applicable","Percent","6.22581"
"Guyana","2002","Not applicable","Not applicable","Percent","4.05527"
"Holy See","2001","Not applicable","Not applicable","Percent","0"
"Honduras","2013","Not applicable","Not applicable","Percent","18.38987"
"Hong Kong Special Administrative Region of China","2014","Not applicable","Not applicable","Percent","29.38388"
"Hong Kong Special Administrative Region of China","2013","Not applicable","Not applicable","Percent","26.20556"
